
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[02:15:53.280 --> 02:15:59.280]   kings that they were working for really liked them and decided i'm gonna make the aztecs part of our
[02:15:59.280 --> 02:16:06.560]   ancestry i'm gonna give them my daughter to marry the head of the aztecs
[02:16:08.080 --> 02:16:15.040]   and the aztecs sacrificed her and that really pissed that guy off so he took like his whole
[02:16:15.040 --> 02:16:21.200]   army and ran the aztecs out for a while they say they live in this horrible desert section eating
[02:16:21.200 --> 02:16:28.240]   lizards but then one of their priests say we're gonna walk around the lake and my visions say that
[02:16:28.240 --> 02:16:36.480]   where we see an eagle sitting on a cactus with a snake in its mouth is where we will build our capital
[02:16:36.480 --> 02:16:44.080]   and they see that but it's out on an island in the lake and they he said well i don't know that's
[02:16:44.080 --> 02:16:52.400]   that's the place so they build up an island they go to that island and then they just start piling up lake
[02:16:52.400 --> 02:16:58.720]   muck until they make a whole city there in the middle of the island they make or the lake they
[02:16:58.720 --> 02:17:05.440]   make an island city and all of this occurs in about a hundred years so they show up about 1300
[02:17:06.080 --> 02:17:14.560]   the capital of tenochtitlan as they called it uh is really established and from there they quickly
[02:17:14.560 --> 02:17:22.000]   take over the entire valley they make uh what they call the triple alliance which is the two other big
[02:17:22.000 --> 02:17:27.680]   communities of the lake are now their allies but they're not really allies the the aztecs were brutal
[02:17:27.680 --> 02:17:31.680]   they were just those guys agreed to shut up and let the aztecs run the show
[02:17:33.360 --> 02:17:38.880]   and then the aztecs spread like a wildfire all the way down into the maya area everywhere they go they
[02:17:38.880 --> 02:17:47.120]   rename everybody's towns and make them pay tribute pretty short lasting civilization uh spread extremely
[02:17:47.120 --> 02:17:54.400]   quickly uh famous what what what are some defining qualities that explain that i think they were very
[02:17:54.400 --> 02:18:02.080]   much like they they had an attitude like attila the hun they just had no problem ripping your skin off
[02:18:02.080 --> 02:18:10.400]   everybody else had become too comfortable and too civilized and the aztecs were just mercenary they
[02:18:10.400 --> 02:18:17.280]   told everybody you know we can either rip your heart out or you can work for us and if you work for us you'll
[02:18:17.280 --> 02:18:22.720]   be just fine they'd go to every town they'd go to the first thing they do is they'd show up with a bunch of uh
[02:18:22.720 --> 02:18:30.080]   merchants there was a merchant class who were also military they were really the the the people who assessed
[02:18:30.080 --> 02:18:36.080]   where they were going to attack next they'd go in with a bunch of aztec products and say we'd like to trade
[02:18:36.080 --> 02:18:43.200]   with you but all the time they were assessing their military prowess what uh what products they had that
[02:18:43.200 --> 02:18:50.400]   they could take and then soon after the pocheteca were there would come the military with the reconnaissance
[02:18:51.600 --> 02:18:57.200]   so the the aztec had a huge warrior class as you're saying so what was there just can you
[02:18:57.200 --> 02:19:07.040]   uh linger on their whole relationship with war and violence they they worshipped a war deity their main
[02:19:07.040 --> 02:19:15.920]   temple was uh the templo mayor it had two temples up on top one was to tlaloc the rain god who liked a lot of
[02:19:15.920 --> 02:19:23.920]   sacrifice himself but then the other one was we seal up poshli he was that translates the hummingbird on
[02:19:23.920 --> 02:19:29.680]   the left but he's the war god i love that he's a hummingbird maybe you know he's fast and he comes
[02:19:29.680 --> 02:19:37.600]   from the magical side or something but uh then then right next to the temple on either side were the two
[02:19:37.600 --> 02:19:43.440]   temples of the warriors one was the eagle warrior clan the other one was the jaguar warrior clan
[02:19:44.240 --> 02:19:50.480]   and they they were symbolically in competition with each other though a unified force i guess you know
[02:19:50.480 --> 02:19:57.360]   probably an analogy between like the navy and the air force you know they had a good natured competition
[02:19:57.360 --> 02:20:04.640]   of who was better but they were the same force so those were their symbolic warriors dressed up in all
[02:20:04.640 --> 02:20:13.200]   of their finery and they would they they would come at people uh with these two forces and it was very unlike
[02:20:13.200 --> 02:20:19.760]   uh anything that had happened before in mesoamerica again i think i could draw a parallel to what
[02:20:19.760 --> 02:20:28.800]   happened in europe you know the famous uh henry v moment in agincourt where you know his kind of uh
[02:20:28.800 --> 02:20:38.880]   ragtag army wipes out half of france's aristocracy with the longbow like up until that moment europe had a very
[02:20:38.880 --> 02:20:46.640]   uh wars for the elite classes kind of attitude and then after france lost half their aristocracy then
[02:20:46.640 --> 02:20:53.440]   i was like maybe we should be hiring from the villages the same sort of thing happened with the aztec that
[02:20:53.440 --> 02:21:02.560]   there was a mesoamerica really didn't have huge standing armies but the aztec put this army together and they
[02:21:02.560 --> 02:21:08.240]   intimidated people they didn't actually have to use it a lot it was very it was used to great effect
[02:21:08.240 --> 02:21:13.760]   in the in the valley of mexico and for the rest of mesoamerica it was mostly the fear factor
[02:21:13.760 --> 02:21:22.480]   but there also seemed to be um you know a celebration of uh of violence i think you said
[02:21:22.480 --> 02:21:30.160]   uh that beauty and blood went hand in hand for the aztec maybe like the roman empire was it they just
[02:21:30.160 --> 02:21:37.840]   had maybe a different relationship with what violence where that stood in uh the purpose of life
[02:21:37.840 --> 02:21:45.040]   purpose of existence is that fair to say i would hypothesize so i mean that you know i think it's one
[02:21:45.040 --> 02:21:51.120]   of the wonderful things about studying these ancient cultures you know knowing what our human capacity is
[02:21:51.120 --> 02:21:59.040]   and the aztecs uh when i when i said that statement i what i what i meant by that is they were absolutely
[02:21:59.040 --> 02:22:05.360]   comfortable with human sacrifice and you know ripping people's hearts out this they had this this just
[02:22:05.360 --> 02:22:17.360]   you know grotesque violent bent but in the same way they also absolutely loved flower gardens and poetry and
[02:22:17.360 --> 02:22:28.160]   music and dance the same aztec king who would order the hearts of a thousand people extracted also would stand
[02:22:28.160 --> 02:22:35.600]   up at dinner parties to recite his own poetry or the poetry of famous statesmen that had come before
[02:22:35.600 --> 02:22:44.000]   him and they spent money on things like flower gardens they're all of the causeways leading to the aztec
[02:22:44.000 --> 02:22:53.680]   capital had beautiful flower gardens and they had a museum and they had an aquarium and a zoo and they had an
