
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[02:05:39.180 --> 02:05:54.040]   And then, you know, still to this day, you know, even it's like, I think Tucker Carlson just said this recently, but like, and I guess it's a little bit of a weird area when you're filming people raping children, but what, where are the tapes?
[02:05:54.040 --> 02:05:57.120]   Why is everyone talking about the flight logs and the files?
[02:05:57.120 --> 02:05:58.380]   Where are the tapes?
[02:05:58.380 --> 02:06:01.500]   This guy was clearly taping people to blackmail them.
[02:06:01.900 --> 02:06:07.560]   Where are those is, I don't know what the legal process of this is, but like, cause I think technically it's child porn.
[02:06:07.560 --> 02:06:08.600]   So like, yeah, okay.
[02:06:08.600 --> 02:06:11.280]   You can't just like distribute it out and let everybody watch it.
[02:06:11.280 --> 02:06:18.740]   But isn't there a way that like somebody has to sit down and watch it and see who is implicated in this and see who would like, I just don't.
[02:06:18.820 --> 02:06:25.280]   And there seems to be, there's even, I think there's a lot of LARPing with this administration going on right now on this topic.
[02:06:25.480 --> 02:06:29.180]   But does anybody really expect that we're actually going to get to the bottom of this?
[02:06:29.180 --> 02:06:29.940]   Cause I don't.
[02:06:29.940 --> 02:06:34.520]   And that in itself just tells you what a sham this whole goddamn system is.
[02:06:34.520 --> 02:06:37.440]   One of the things that's so amazing about the Jeffrey Epstein story, right?
[02:06:37.440 --> 02:06:38.720]   I mean, you have all of that.
[02:06:38.720 --> 02:06:41.620]   And then of course the end of it, which is just like, wait a minute.
[02:06:41.620 --> 02:06:42.480]   Wait, what?
[02:06:42.480 --> 02:06:42.900]   Hold on.
[02:06:42.980 --> 02:06:46.400]   He's in like the most secure like prison.
[02:06:46.400 --> 02:06:54.560]   And then he gets this, the cameras go out and the correctional officers don't fill out the log and he's found dead.
[02:06:54.560 --> 02:07:04.540]   I mean, it's the most, like, it's just, but when you look at it in totality, there's just like no getting around the, the huge indictment it is of this entire, like everything.
[02:07:04.940 --> 02:07:17.200]   And I mean, even the, the fact that even the Trump administration, when Pam Bondi goes, we're going to release all of this information, we've only redacted what needs to be redacted for national security.
[02:07:17.200 --> 02:07:21.320]   Like, why does anything need to be redacted for national security?
[02:07:21.320 --> 02:07:22.180]   Like, I'm sorry.
[02:07:22.180 --> 02:07:26.740]   You're telling me there's a pedophile ring and we can't tell you everything about it for national security.
[02:07:26.740 --> 02:07:28.860]   Why would that be related to national security?
[02:07:28.860 --> 02:07:44.460]   I mean, there's just, it's like, and I do think there's something, and it's very interesting because, you know, like we talked briefly, was that on air before we were talking about, we were talking about Sam Harris kind of like criticized me a little bit for not having the credentials to talk about some of this stuff, which, you know, like I even said, okay, he's got a point.
[02:07:45.200 --> 02:07:53.780]   Um, but it's like, one of the things that like guys like Sam Harris will talk about a lot is, uh, that like, look, we need trust in institutions.
[02:07:53.780 --> 02:07:59.420]   And this, this is his big thing where he goes, you know, these people like Joe Rogan and Dave Smith are just tearing down the institutions.
[02:07:59.420 --> 02:08:03.220]   And while I recognize that's an issue, I also think we need trust in these institutions.
[02:08:03.220 --> 02:08:04.100]   It's like Sam Harris.
[02:08:04.100 --> 02:08:05.180]   Well, it's like, yeah, but what?
[02:08:05.180 --> 02:08:05.540]   Yeah.
[02:08:05.540 --> 02:08:13.840]   Well, if you talk in that tone, then it means you're not being emotional and you're only being logical and rational, which is like, I actually don't think is appropriate when you're talking about a child rapist ring.
[02:08:13.840 --> 02:08:19.160]   But whatever, um, that's my take on it, but it's like, okay, so where, where are these institutions?
[02:08:19.160 --> 02:08:20.660]   I'm supposed to trust, man.
[02:08:20.660 --> 02:08:26.660]   You're telling me there's a pedophile ring that is at least in some degree associated with national security.
[02:08:26.660 --> 02:08:30.960]   Like what the, and, and how could you possibly have this story?
[02:08:30.960 --> 02:08:39.440]   Like if you did care about, um, the trust in institutions, then you should be even louder than me talking about like, you gotta tell the truth on this story.
[02:08:39.440 --> 02:08:41.500]   Otherwise we'll never have trust in these institutions.
[02:08:41.500 --> 02:08:42.200]   I'm the same, actually.
[02:08:42.200 --> 02:08:43.540]   I believe in institutions.
[02:08:43.540 --> 02:08:48.360]   Like I, I think they have, so this is where you and I probably disagree on the libertarian side.
[02:08:48.360 --> 02:08:54.680]   I think it's, I think institutions, if they're run efficiently, can, right?
[02:08:54.680 --> 02:08:55.980]   Who's the utopian now?
[02:08:55.980 --> 02:08:56.520]   That's right.
[02:08:56.520 --> 02:08:58.500]   I mean, there is a utopian notion to it for sure.
[02:08:58.500 --> 02:09:04.320]   But, uh, because it's very possible that bureaucracies always destroy the productivity and the effectiveness of institutions.
[02:09:04.320 --> 02:09:04.960]   It's possible.
[02:09:05.100 --> 02:09:08.000]   It's a Lord Atkin kind of power corrupts type deal.
[02:09:08.000 --> 02:09:09.880]   And it's, you're absolutely right.
[02:09:09.880 --> 02:09:14.000]   If you believe in institutions, you should be, you should want to release everything about Epstein.
[02:09:14.000 --> 02:09:17.960]   You should want to be transparent, uh, as much as possible.
[02:09:17.960 --> 02:09:18.740]   Yeah.
[02:09:18.740 --> 02:09:22.340]   I, but the one thing I'm, and it is very suspicious.
[02:09:22.340 --> 02:09:27.520]   So I'm more and more becoming convinced that there's some intelligence agency connected to it.
[02:09:27.520 --> 02:09:43.180]   But I also want to like setting that aside, just comment on one thing where, again, it's super entertaining, but people say about me that I came out of nowhere and that's proof that I'm intelligence.
[02:09:43.180 --> 02:09:49.720]   So first of all, there is a track record of where I came from, quote unquote, it's just people are too lazy.
[02:09:49.960 --> 02:09:54.340]   And there is something sexy about like just saying fucking Mossad.
[02:09:54.340 --> 02:09:55.680]   Oh, he's denying it.
[02:09:55.680 --> 02:09:57.080]   Fucking Mossad.
[02:09:57.080 --> 02:09:57.620]   Yeah.
[02:09:57.620 --> 02:09:59.300]   By the way, the Mossad thing is a new thing.
[02:09:59.300 --> 02:10:01.180]   It used to be, uh, FSB and CIA.
[02:10:01.180 --> 02:10:04.400]   Uh, what do I want to say about that?
[02:10:04.400 --> 02:10:04.700]   Oh yeah.
[02:10:04.700 --> 02:10:10.680]   I've, uh, been gradually growing in popularity over the past 10 years.
[02:10:10.720 --> 02:10:20.980]   I've been doing, uh, interviews, lectures, podcasts, and they've been just, it's actually very gradual and I don't know what else to say.
[02:10:20.980 --> 02:10:23.240]   There's something, I know I've experienced this too, right?
[02:10:23.240 --> 02:10:37.200]   Like there's such a difference in perspective because like if somebody, like if somebody just found me and they just found out who I am and they go, this guy's brand new and he's doing like all these shows, but you're like, yeah, well, I don't know, dude, not from my perspective.
[02:10:37.200 --> 02:10:43.860]   I'm not brand new, like, dude, I've been doing, I've been doing standup comedy for 19 years and I've been podcasting for like 15 years.
[02:10:43.860 --> 02:10:48.260]   And you're like, and then when it like starts taking off, everybody's like, oh, this guy just came out of nowhere.
[02:10:48.260 --> 02:10:49.780]   And you're like, I mean, all right.
[02:10:49.780 --> 02:11:05.460]   I wish, I wish I had been aware that it was all this quick, but look, a lot of this stuff with, with so much of this too, it's just laziness and people searching for confirmation bias and people searching for a simpler story because that's easier.
[02:11:05.460 --> 02:11:12.100]   So if you're, if they believe that Epstein was Mossad and there's a clip of you where you're like, ah, I don't know about that.
[02:11:12.100 --> 02:11:13.880]   Then they go, see, he's Mossad too.
[02:11:13.880 --> 02:11:16.140]   And now that fits perfectly into my little story.
[02:11:16.140 --> 02:11:16.940]   I don't know.
[02:11:16.940 --> 02:11:20.620]   The truth is that it's quite possible that people just aren't convinced.
[02:11:20.620 --> 02:11:24.400]   However, given enough time, Tim Dillon is always right about everything.
[02:11:24.400 --> 02:11:24.760]   That's true.
[02:11:24.780 --> 02:11:27.920]   So you got to, eventually you'll have to admit that he got it right.
[02:11:27.920 --> 02:11:40.200]   And, you know, not to say the cliche, cheesy thing, but it is true that the comedians sometimes say, say the obvious thing that people are a little resistant to say.
