
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[02:01:40.980 --> 02:01:46.020]   increasingly less and less popular. That's wrong. The opinion polls last month when he was in Washington,
[02:01:46.020 --> 02:01:51.220]   showed him at an all time high, you know, but you were saying I, I make my own poll. And according to my poll,
[02:01:51.220 --> 02:01:56.420]   um, I'm the greatest, I'm the nicest and the coolest person in the world.
[02:01:56.420 --> 02:02:01.460]   A hundred percent of people agree. So I didn't mean to laugh that much. Yeah.
[02:02:01.460 --> 02:02:05.300]   You laughed a little too much. It's more than the joke. Yeah.
[02:02:05.300 --> 02:02:10.020]   But you were saying, I mean, yeah. Okay. Let's steal, man, the criticism of Netanyahu.
[02:02:10.020 --> 02:02:15.940]   Can you, and then steal, man, the case for him that he's the right leader actually at this moment.
[02:02:16.500 --> 02:02:22.660]   The most devastating thing that anyone can come up against Netanyahu is, is, uh, that the seventh
[02:02:22.660 --> 02:02:32.340]   happened on his watch. Um, after the Yom Kippur war in 1973, Golda Meir, who is a very distinguished
[02:02:32.340 --> 02:02:38.420]   prime minister of Israel and a remarkable woman, but she effectively took the, the political hit
[02:02:39.060 --> 02:02:47.780]   for the Yom Kippur invasion, um, by Israel's Arab neighbors happening on her watch. And, um, and I
[02:02:47.780 --> 02:02:55.060]   thought that most critics, fair-minded critics of Netanyahu inside Israel and without would always hold
[02:02:55.060 --> 02:03:05.940]   that against him. Um, the, uh, I suppose that the, one of the criticisms you hear a lot as well is this
[02:03:05.940 --> 02:03:10.420]   thing of Israel being divided in the year before the seventh because of the judicial reforms.
[02:03:10.420 --> 02:03:18.460]   Um, I think there's a strong case with judicial reforms in Israel, but, um, it's a sort of niche
[02:03:18.460 --> 02:03:23.880]   Israeli governance issue, which we don't have to get into. The point is, is that Netanyahu and his
[02:03:23.880 --> 02:03:31.260]   government were pushing these reforms through judicial reforms. And, uh, it was very divisive and on the
[02:03:31.260 --> 02:03:39.100]   streets of Tel Aviv and other cities every weekend, there were protests and the, uh, police were tired
[02:03:39.100 --> 02:03:44.540]   because they'd spent week after week on overtime policing these protests, which often turned
[02:03:44.540 --> 02:03:53.020]   raucous, not to say violent, but sometimes violent. And, uh, you could say, well, if you see that something
[02:03:53.020 --> 02:03:59.500]   is dividing your country this much, why don't you stop? There is a claim by some people that one, one of
[02:03:59.500 --> 02:04:06.220]   the things that prompted the seventh was that Hamas and his backers in Qatar and Iran saw the division
[02:04:06.220 --> 02:04:12.780]   in Israeli society, saw the Israeli population, you know, a significant chunk of it every week on the streets,
[02:04:13.340 --> 02:04:19.340]   shutting down highways, shutting down services and so on, and thought good. Now's the time. In other words,
[02:04:19.340 --> 02:04:26.940]   what I quoted Sinwar as saying earlier, when he was in, um, in a prison in Israel was, you know, this thing,
[02:04:26.940 --> 02:04:35.820]   one day you'll be weak and then I'll strike. Maybe that is one of the things that Sinwar thought Israel
[02:04:35.820 --> 02:04:40.300]   was very weak. It had been divided and therefore the time strike. There's an argument against that,
[02:04:40.300 --> 02:04:46.780]   which is that the seventh was in preparation and being planned before the judicial reform process
[02:04:46.780 --> 02:04:53.820]   in Israel began. So you can look at it several ways, but you could use that. You could say, look,
[02:04:53.820 --> 02:04:59.100]   this is, you know, if you, if your, your, your nation was divided, don't push through anymore on that.
[02:04:59.100 --> 02:05:04.220]   There's, there's lots of things like that. You could say that, that Netanyahu was one of the people
[02:05:04.220 --> 02:05:09.900]   responsible for the conception. You could, uh, there are critics of his, including critics who are in the
[02:05:09.900 --> 02:05:17.500]   war cabinet who thought that he was too focused on, on, uh, Hamas and not focused enough on Hezbollah.
[02:05:17.500 --> 02:05:22.620]   Other people think he was too focused on Hezbollah and not enough on Hamas. Um,
[02:05:22.620 --> 02:05:30.140]   so I, there's them and many other criticisms that people make of him. I would say I've interviewed,
[02:05:30.140 --> 02:05:37.340]   I think every political leader in Israel from right to left pretty much. And, um, I have to say, I don't
[02:05:37.340 --> 02:05:43.580]   think there's any of them that wouldn't have responded similarly to the seventh of October to the way he
[02:05:43.580 --> 02:05:51.180]   has. Can we, okay. So that's inside Israel, outside of Israel, you know, uh, despite what
[02:05:51.180 --> 02:05:56.860]   he said, uh, he is one of the most hated people in the world, just the raw quantity relative.
[02:05:56.860 --> 02:06:03.260]   He's loved by a lot of people, but there's a lot of people that, you know, there's a lot of psychological
[02:06:03.260 --> 02:06:07.820]   effects that might explain that. I mean, it's sort of strange to, to, to, if, if, if, if there is a
[02:06:07.820 --> 02:06:13.740]   widespread global loathing of the prime minister of a country of eight to nine million people.
[02:06:13.740 --> 02:06:19.980]   Yeah. That's, that might mean something more than, uh, a hatred of the, the military actions
[02:06:19.980 --> 02:06:24.940]   and the policies of the one person. Yeah. I mean, you know, there's a, there's an awful lot
[02:06:24.940 --> 02:06:30.060]   of people to hate in the world. There's a lot of wars in the world. It's, it's always of interest to me.
[02:06:30.060 --> 02:06:34.700]   And obviously it's on the one things I go into on, on democracies and death cults is this question of
[02:06:34.700 --> 02:06:42.700]   like, why is this so galvanizing for so many people? And I think that is a very, very interesting
[02:06:42.700 --> 02:06:50.060]   question. Like why, by the way, let me do a quick addendum to that. You can notice something else like
[02:06:50.060 --> 02:06:56.620]   that. When people talk about the Republican failures in foreign policy in the last 30 years or so,
[02:06:57.500 --> 02:07:02.860]   it's very interesting. There's a certain type of person who will immediately mention Paul Wolfowitz.
[02:07:02.860 --> 02:07:13.580]   Yeah. Um, and they all say, well, you know, Wolfowitz, you mean deputy under secretary of defense
[02:07:13.580 --> 02:07:25.260]   under George W. Bush, you think he guided everything. Why would that be other than the fact that his name,
[02:07:25.260 --> 02:07:29.660]   as Mark Stein once said, starts with a nasty animal and ends Jewish?
[02:07:29.660 --> 02:07:41.740]   I mean, I do. And I do. So I do think that the, there are very deep things at play.
[02:07:41.740 --> 02:07:54.460]   Netanyahu, irrespective of anything he does for a lot of people is a kind of devil. And you have to say,
[02:07:54.460 --> 02:08:00.140]   well, why is that now? Of course, some people will say, well, that's because he, uh, uh, his terrible
[02:08:00.140 --> 02:08:08.540]   hawkishness and his actions and so on and so forth. The case for Netanyahu is that he sees it as his
[02:08:08.540 --> 02:08:16.300]   his historic purpose to defend the only homeland of the Jewish people and that that's his life's mission.
[02:08:17.660 --> 02:08:29.180]   And on that basis, I think he's been by any measure, historic leader. He has warned the world
[02:08:29.180 --> 02:08:37.260]   about the threat from the mullahs in Tehran. He warned about Iranian revolutionary expansionism
[02:08:37.260 --> 02:08:45.980]   across the region, across the region, across Iraq, Lebanon, Syria, Yemen. And after the seventh, he has
[02:08:45.980 --> 02:08:55.340]   held together a very, very difficult set of challenges to keep, um, international pressure
[02:08:55.340 --> 02:09:05.340]   at the tolerable level to do all sorts of things. But most importantly, to oversee the two war aims
[02:09:05.340 --> 02:09:12.540]   that he set out at the beginning, I thought, let me just express this. I thought like a lot of people,
[02:09:12.540 --> 02:09:19.820]   when I heard about the hostages, my immediate instinct was they're all dead. They're all going to be dead.
[02:09:19.820 --> 02:09:24.940]   We'll never see them again. And that was the attitude of a lot of Israelis.
[02:09:24.940 --> 02:09:32.540]   But although there are still hostages being held, and as I've always said, the war could end tomorrow
[02:09:32.540 --> 02:09:38.300]   if they were handed back. Um, or at least the beginning of the end of the war could begin tomorrow
[02:09:38.300 --> 02:09:46.300]   if they were handed back. Uh, nevertheless, because of the actions of not just Netanyahu, but the Israeli
[02:09:46.300 --> 02:09:56.700]   government, um, most of the hostages have been returned, did not expect this to happen.
[02:09:58.140 --> 02:10:05.180]   And Hamas has not been completely destroyed, but it has been very, very significantly degraded.
[02:10:05.180 --> 02:10:11.900]   And you end up in the definition of what a total destruction of Hamas would look like, but they
[02:10:11.900 --> 02:10:20.140]   are not anywhere near the capability they were in November of 2023.
[02:10:21.260 --> 02:10:29.740]   their leadership has almost all been killed. Uh, the second tier of leadership, almost all gone.
[02:10:29.740 --> 02:10:37.820]   And, um, this is a just response to what Hamas did.
[02:10:37.820 --> 02:10:47.660]   The moment, Netanyahu's reputation in Israel was a little low early on because of what had happened.
[02:10:48.860 --> 02:10:53.820]   But, and there's no doubt. And as I, I say in the final chapter of the book, I mean, there's
[02:10:53.820 --> 02:10:59.980]   General Slim had this phrase, uh, you know, from defeat into victory, Israel isn't at victory yet
[02:10:59.980 --> 02:11:08.540]   in this conflict. But, uh, when in September last year, there were a set of operational successes,
[02:11:08.540 --> 02:11:16.780]   so extraordinary that, I mean, it was just like every day's news was, there was one day I remember when
[02:11:16.780 --> 02:11:22.460]   after the, um, after the, um, after the Assad regime fell, when, um, the Israeli air force took out the
