
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[01:11:01.000 --> 01:11:05.000]   And I have to say, it was pretty great, the result.
[01:11:05.000 --> 01:11:08.000]   Go ahead, Freeberg, tell us what you discovered.
[01:11:08.000 --> 01:11:09.000]   - I think you guys should read this real quick.
[01:11:09.000 --> 01:11:11.000]   We can cut it out if it's stupid, but okay.
[01:11:11.000 --> 01:11:12.000]   - Just actually read the script?
[01:11:12.000 --> 01:11:13.000]   - Yeah, read the script.
[01:11:13.000 --> 01:11:15.000]   - I don't think they got the Quentin Tarantino part right.
[01:11:15.000 --> 01:11:16.000]   I mean, I think it was impressive,
[01:11:16.000 --> 01:11:19.000]   but there's no F-bombs, there's no Tarantino-esque dialogue.
[01:11:19.000 --> 01:11:22.000]   - And by the way, they excluded all of that from open AI.
[01:11:22.000 --> 01:11:25.000]   They took out all cussing and violence from open AI.
[01:11:25.000 --> 01:11:28.000]   - That explains it, because if this was a Tarantino script,
[01:11:28.000 --> 01:11:29.000]   there would be some choice language in here.
[01:11:29.000 --> 01:11:30.000]   - Totally, but it's interesting.
[01:11:30.000 --> 01:11:32.000]   It's like the PG Tarantino script,
[01:11:32.000 --> 01:11:35.000]   with no cussing, no violence, no sex.
[01:11:35.000 --> 01:11:37.000]   - There's no pop culture references.
[01:11:37.000 --> 01:11:38.000]   - Yeah, you do the narrative.
[01:11:38.000 --> 01:11:39.000]   Go ahead.
[01:11:39.000 --> 01:11:43.000]   (gentle music)
[01:11:43.000 --> 01:11:45.000]   - The scene opens on Chamath Palihapitiya.
[01:11:45.000 --> 01:11:47.000]   David Sachs and Jason Calacanis
[01:11:47.000 --> 01:11:49.000]   sitting at a dimly lit table in a smoky bar.
[01:11:49.000 --> 01:11:53.000]   A bottle of whiskey sits in the center of the table, half empty.
[01:11:53.000 --> 01:11:55.000]   Chamath leaning forward, his eyes intense.
[01:11:55.000 --> 01:11:59.000]   - So, what do you guys think about this chat GPT thing?
[01:11:59.000 --> 01:12:01.000]   - David Sachs takes a sip of his drink.
[01:12:01.000 --> 01:12:03.000]   - It's impressive, no doubt about it.
[01:12:03.000 --> 01:12:05.000]   A large language model trained by open AI
[01:12:05.000 --> 01:12:06.000]   that can generate human-like texts
[01:12:06.000 --> 01:12:08.000]   in a variety of styles and formats.
[01:12:08.000 --> 01:12:09.000]   It's a game changer.
[01:12:09.000 --> 01:12:10.000]   - Jason nods.
[01:12:10.000 --> 01:12:11.000]   - Definitely.
[01:12:11.000 --> 01:12:14.000]   It's one of the most advanced AI systems we've seen to date.
[01:12:14.000 --> 01:12:17.000]   It's gonna have a huge impact on the way we use
[01:12:17.000 --> 01:12:19.000]   and interact with AI.
[01:12:19.000 --> 01:12:21.000]   - Chamath frowns.
[01:12:21.000 --> 01:12:22.000]   - That's what I'm worried about.
[01:12:22.000 --> 01:12:23.000]   With a technology like this,
[01:12:23.000 --> 01:12:25.000]   the possibilities are endless,
[01:12:25.000 --> 01:12:27.000]   but so are the potential dangers.
[01:12:27.000 --> 01:12:29.000]   - Sachs leans back in his chair.
[01:12:29.000 --> 01:12:30.000]   - Oh, come on, Chamath.
[01:12:30.000 --> 01:12:32.000]   You're not still stuck on that whole
[01:12:32.000 --> 01:12:34.000]   AI is gonna kill us all thing, are you?
[01:12:34.000 --> 01:12:36.000]   - Chamath leans forward again,
[01:12:36.000 --> 01:12:38.000]   his voice low and serious.
[01:12:38.000 --> 01:12:41.000]   - Look, I'm not saying that chat GPT
[01:12:41.000 --> 01:12:44.000]   is going to turn into Skynet overnight,
[01:12:44.000 --> 01:12:46.000]   but we need to be careful
[01:12:46.000 --> 01:12:49.000]   about the way we develop and deploy AI.
[01:12:49.000 --> 01:12:51.000]   We need to make sure that we're using it for good
[01:12:51.000 --> 01:12:53.000]   and not just for our own gain.
[01:12:53.000 --> 01:12:54.000]   (laughs)
[01:12:54.000 --> 01:12:55.000]   - J. Cal nods.
[01:12:55.000 --> 01:12:56.000]   - I agree.
[01:12:56.000 --> 01:12:58.000]   We need to make sure that we're responsible
[01:12:58.000 --> 01:12:59.000]   in the way we use AI,
[01:12:59.000 --> 01:13:02.000]   and that includes making sure it's accessible
[01:13:02.000 --> 01:13:04.000]   and affordable to everyone,
[01:13:04.000 --> 01:13:05.000]   not just a select few.
[01:13:05.000 --> 01:13:07.000]   - Chamath with a dirty smirk.
[01:13:07.000 --> 01:13:08.000]   - Ha ha ha ha.
[01:13:08.000 --> 01:13:11.000]   And let's not forget about the importance of regulation.
[01:13:11.000 --> 01:13:12.000]   Ha ha.
[01:13:12.000 --> 01:13:14.000]   We need to make sure that we have the right laws,
[01:13:14.000 --> 01:13:15.000]   ha ha, in place, ha ha.
[01:13:15.000 --> 01:13:16.000]   - Okay, okay, this is the most.
[01:13:16.000 --> 01:13:17.000]   - To prevent the misuse of AI.
[01:13:17.000 --> 01:13:19.000]   - I'm calling, the director's calling, cut.
[01:13:19.000 --> 01:13:21.000]   - Cut, that's it, scene.
[01:13:21.000 --> 01:13:22.000]   - Cut.
[01:13:22.000 --> 01:13:23.000]   - That's it, scene.
[01:13:23.000 --> 01:13:24.000]   We're not gonna finish it.
[01:13:24.000 --> 01:13:25.000]   - I mean, it's not that far off.
[01:13:25.000 --> 01:13:27.000]   I mean, it's 60% of the way there.
[01:13:27.000 --> 01:13:29.000]   - Actually, there isn't a better one.
[01:13:29.000 --> 01:13:31.000]   - All you have to do is put in a Biden for Sachs.
[01:13:31.000 --> 01:13:33.000]   If you blame Biden, it would have been perfect.
[01:13:33.000 --> 01:13:35.000]   - Let me tell you guys something stunning about this,
[01:13:35.000 --> 01:13:37.000]   this platform.
[01:13:37.000 --> 01:13:39.000]   So this is GPT 3.5,
[01:13:39.000 --> 01:13:41.000]   which is an interim model to the,
[01:13:41.000 --> 01:13:45.000]   what people are saying is the long awaited GPT 4.0 model,
[01:13:45.000 --> 01:13:47.000]   which I think they announced in 2020,
[01:13:47.000 --> 01:13:50.000]   and has been in development for some time.
[01:13:50.000 --> 01:13:54.000]   So the model, this GPT 3.5 model was trained in three steps.
[01:13:54.000 --> 01:13:59.000]   They do a great job explaining it on the OpenAI blog site,
[01:13:59.000 --> 01:14:01.000]   where they collect some data,
[01:14:01.000 --> 01:14:03.000]   and then there's a supervised model,
[01:14:03.000 --> 01:14:06.000]   meaning that there are humans that are involved in tagging.
[01:14:06.000 --> 01:14:09.000]   And then the model kind of learns from that system.
[01:14:09.000 --> 01:14:12.000]   Then you ask the model questions, you get output.
[01:14:12.000 --> 01:14:14.000]   And then humans rank the output.
[01:14:14.000 --> 01:14:16.000]   And so the model learns through that ranking system.
[01:14:16.000 --> 01:14:18.000]   And then there's kind of this third optimization thing,
[01:14:18.000 --> 01:14:20.000]   and then it's fine tuned.
[01:14:20.000 --> 01:14:23.000]   So the model itself has several steps
[01:14:23.000 --> 01:14:24.000]   of kind of human involvement,
[01:14:24.000 --> 01:14:28.000]   and it sources its own data and builds it.
[01:14:28.000 --> 01:14:30.000]   You know what's incredible about this model?
[01:14:30.000 --> 01:14:33.000]   The total size of the software package
[01:14:33.000 --> 01:14:35.000]   that runs the model is about 100 gigabytes.
[01:14:35.000 --> 01:14:36.000]   Isn't that amazing?
[01:14:36.000 --> 01:14:39.000]   Like you could fit this model on probably what,
[01:14:39.000 --> 01:14:42.000]   20% of the storage space on your iPhone,
[01:14:42.000 --> 01:14:43.000]   and you could run this thing,
[01:14:43.000 --> 01:14:44.000]   and you could probably just talk to it
[01:14:44.000 --> 01:14:46.000]   for the rest of your life.
[01:14:46.000 --> 01:14:49.000]   And it's really kind of an incredible milestone.
[01:14:49.000 --> 01:14:52.000]   But I think what was so stunning to me about this,
[01:14:52.000 --> 01:14:54.000]   I know you guys are probably expecting something
[01:14:54.000 --> 01:14:55.000]   to be said like this,
[01:14:55.000 --> 01:15:02.000]   but you could see so many human knowledge worker roles
[01:15:02.000 --> 01:15:06.000]   and functions being replaced by this extraordinary interface.
[01:15:06.000 --> 01:15:09.000]   So kids can do homework, that's easy.
[01:15:09.000 --> 01:15:11.000]   Software engineers can get their code optimized
[01:15:11.000 --> 01:15:13.000]   and can get their code written for them.
[01:15:13.000 --> 01:15:15.000]   There's great examples of how software code
[01:15:15.000 --> 01:15:17.000]   has been written by this interface.
[01:15:17.000 --> 01:15:21.000]   You could see real estate insurance salespeople
[01:15:21.000 --> 01:15:24.000]   being replaced by some sort of software-like interface.
[01:15:24.000 --> 01:15:25.000]   Copywriters.
[01:15:25.000 --> 01:15:29.000]   Copywriters, you know, make me 100 versions
[01:15:29.000 --> 01:15:32.000]   of a commercial or an ad that I can then use.
[01:15:32.000 --> 01:15:33.000]   Customer support.
[01:15:33.000 --> 01:15:34.000]   Customer support completely replaced.
[01:15:34.000 --> 01:15:35.000]   If you guys remember,
[01:15:35.000 --> 01:15:37.000]   there were these automated customer support companies
[01:15:37.000 --> 01:15:40.000]   that started two decades ago.
[01:15:40.000 --> 01:15:41.000]   Never worked.
[01:15:41.000 --> 01:15:42.000]   And there was this great flurry.
[01:15:42.000 --> 01:15:44.000]   All BPO businesses were all about lower cost human labor.
[01:15:44.000 --> 01:15:46.000]   Now the cost of human labor goes to zero.
[01:15:46.000 --> 01:15:48.000]   My prediction, which is,
[01:15:48.000 --> 01:15:50.000]   so everyone's got the obvious prediction,
[01:15:50.000 --> 01:15:52.000]   which is there's going to be 100,000 startups
[01:15:52.000 --> 01:15:53.000]   that are going to emerge.
[01:15:53.000 --> 01:15:55.000]   I mean, this is kind of like this moment
[01:15:55.000 --> 01:15:56.000]   where the internet came along
[01:15:56.000 --> 01:15:58.000]   and everyone's like, this changes everything.
[01:15:58.000 --> 01:16:00.000]   I do think everyone thinks and feels that.
[01:16:00.000 --> 01:16:03.000]   So the obvious next step is a bubble will form.
[01:16:03.000 --> 01:16:06.000]   - Can I ask a technical question though, Freeberg?
[01:16:06.000 --> 01:16:08.000]   And then Chamath, you're probably thinking the same thing.
[01:16:08.000 --> 01:16:10.000]   - Let me just finish my market prediction
[01:16:10.000 --> 01:16:11.000]   and then we'll do the,
[01:16:11.000 --> 01:16:13.000]   but I think because everyone's so hyped about this
[01:16:13.000 --> 01:16:14.000]   and we all know this,
[01:16:14.000 --> 01:16:16.000]   all the VC attention, all the investor attention
[01:16:16.000 --> 01:16:18.000]   is shifting to this capability.
[01:16:18.000 --> 01:16:20.000]   And how do you apply this sort of capability
[01:16:20.000 --> 01:16:22.000]   across all of these different industries
[01:16:22.000 --> 01:16:24.000]   and all these different applications?
[01:16:24.000 --> 01:16:26.000]   And as a result, my guess is the next hype cycle,
[01:16:26.000 --> 01:16:28.000]   the next bubble cycle in Silicon Valley
[01:16:28.000 --> 01:16:31.000]   will absolutely be this generative AI business.
[01:16:31.000 --> 01:16:33.000]   - Okay, this is a little technical,
[01:16:33.000 --> 01:16:35.000]   but how would it know the difference
[01:16:35.000 --> 01:16:39.000]   between like, Y-O-U-R and U-R
[01:16:39.000 --> 01:16:42.000]   when it is processing natural language
[01:16:42.000 --> 01:16:45.000]   if you were to do like your anus or your anus?
[01:16:45.000 --> 01:16:47.000]   How would that, Freeberg,
[01:16:47.000 --> 01:16:48.000]   how would it know the difference
[01:16:48.000 --> 01:16:51.000]   between your anus and your space anus?
[01:16:51.000 --> 01:16:53.000]   - It'll learn that, you know.
[01:16:53.000 --> 01:16:55.000]   - It's a joke, it didn't land.
[01:16:55.000 --> 01:16:57.000]   It was a joke about your anus, it didn't land.
[01:16:57.000 --> 01:16:59.000]   - Try again, let's try again.
[01:16:59.000 --> 01:17:01.000]   - The AI probably would have made a better joke than that.
[01:17:01.000 --> 01:17:02.000]   - It would have made a better joke, for sure.
[01:17:02.000 --> 01:17:04.000]   - So, somebody did it in our group chat and said,
[01:17:04.000 --> 01:17:06.000]   "Do intros like J-Cal," and they were terrible.
[01:17:06.000 --> 01:17:08.000]   So at least they have a job for another year.
[01:17:08.000 --> 01:17:11.000]   - Avoyasi AI to pretend you're the all-in-pod besties
[01:17:11.000 --> 01:17:13.000]   telling Uranus jokes.
[01:17:13.000 --> 01:17:14.000]   - That would be pretty hilarious.
[01:17:14.000 --> 01:17:15.000]   - What would it come up with?
[01:17:15.000 --> 01:17:16.000]   - Sorry, let me just say one more thing
[01:17:16.000 --> 01:17:17.000]   about this OpenAI thing.
[01:17:17.000 --> 01:17:20.000]   I do think that the biggest and most interesting
[01:17:20.000 --> 01:17:24.000]   thing to think about is how this will
[01:17:24.000 --> 01:17:26.000]   disrupt the search box.
[01:17:26.000 --> 01:17:29.000]   The search, you know, the way search works at Google,
[01:17:29.000 --> 01:17:31.000]   you know, and the internet search,
[01:17:31.000 --> 01:17:33.000]   is there are these kind of servers,
[01:17:33.000 --> 01:17:35.000]   these web crawlers that go out and gather data.
[01:17:35.000 --> 01:17:37.000]   Some are structured data feeds,
[01:17:37.000 --> 01:17:39.000]   and some of them are just crawlers.
[01:17:39.000 --> 01:17:42.000]   And then that data is indexed, or in the structured way,
[01:17:42.000 --> 01:17:44.000]   it's kind of made available for serving
[01:17:44.000 --> 01:17:47.000]   directly on the search page.
[01:17:47.000 --> 01:17:50.000]   And so much of that is indexing.
[01:17:50.000 --> 01:17:52.000]   So I search for a bunch of keywords, those keywords,
[01:17:52.000 --> 01:17:54.000]   and perhaps there's some natural language context
[01:17:54.000 --> 01:17:57.000]   or match to a result page, and I click on that,
[01:17:57.000 --> 01:17:58.000]   and it's linked out.
[01:17:58.000 --> 01:18:00.000]   Years ago, Google started a product called the OneBox,
[01:18:00.000 --> 01:18:02.000]   where they could take structured data,
[01:18:02.000 --> 01:18:05.000]   like what is the weather in San Francisco today,
[01:18:05.000 --> 01:18:07.000]   and that top of the search result page
[01:18:07.000 --> 01:18:08.000]   just presented that data,
[01:18:08.000 --> 01:18:10.000]   'cause it knows with high certainty
[01:18:10.000 --> 01:18:11.000]   the question you're asking,
[01:18:11.000 --> 01:18:13.000]   and it knows with high certainty the answer it can give you.
[01:18:13.000 --> 01:18:15.000]   - Yeah, clipped it from somebody's website, right.
[01:18:15.000 --> 01:18:18.000]   - So if that starts to become everything,
