
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[02:04:02.060 --> 02:04:08.060]   or maybe it'll even all be gone in 10 years, then you're talking about living most of your life in a
[02:04:08.060 --> 02:04:14.140]   Hong Kong that isn't the Hong Kong you really love. Whereas if you were 80, you were like,
[02:04:14.140 --> 02:04:19.420]   why can't they be patient? And people in between had all kinds of other things. This is one thing that
[02:04:19.420 --> 02:04:26.540]   leads to often kind of logically, there's a rationality toward younger people being more
[02:04:26.540 --> 02:04:31.900]   militant about certain kinds of things. I think we see the same thing with climate change, with climate
[02:04:31.900 --> 02:04:37.900]   activism. You're talking about whatever projection is of when things are going to get worse further
[02:04:37.900 --> 02:04:44.060]   down. The younger you are, the more of your life is going to live in that scenario, and there's a logic
[02:04:44.060 --> 02:04:52.860]   for more of that kind of impatience. There's also a sense of frustration with an older generation not
[02:04:52.860 --> 02:04:59.180]   having done enough to sort of resolve issues. These are things with Hong Kong, with climate change, with
[02:05:00.140 --> 02:05:05.340]   Thailand, the place that I've been working on lately. One of the slogans in 2020 when there
[02:05:05.340 --> 02:05:11.740]   was a push for democracy was, "Let it end with this generation," which again expressed this kind of
[02:05:11.740 --> 02:05:20.300]   sense of gradual solutions are fine, but we're carrying more of a burden of what we're going to live with.
[02:05:20.300 --> 02:05:29.020]   So in 2019, also the protests, I mean some of the things that were being chipped away at by Beijing,
[02:05:29.020 --> 02:05:35.660]   in 2012 there was an effort to impose mainland-style patriotic education. It seemed like, "Well, who cares
[02:05:35.660 --> 02:05:41.980]   how civics is taught?" But actually that has a lot to do with the larger kind of political story. And
[02:05:41.980 --> 02:05:47.260]   the protesters that year, young people, stood up and actually got the government to blink. The local
[02:05:47.260 --> 02:05:54.060]   authorities backed down on that, bringing in mainland-style education. 2014, the protest was to
[02:05:54.060 --> 02:06:00.780]   try to get full voting rights for the chief executive. The government didn't blink on that. That was
[02:06:00.780 --> 02:06:08.380]   something where they held the line. It was a big, colorful, exciting protest, but in the end it hit a dead end.
[02:06:09.420 --> 02:06:16.860]   2019, there were even bigger protests, and at first it seems surprising what the issue was. The issue was
[02:06:16.860 --> 02:06:22.780]   an extradition law that would have people potentially who committed crimes in Hong Kong
[02:06:22.780 --> 02:06:29.660]   being tried for them if the mainland wanted them on the mainland. Now the difference, they're really
[02:06:29.660 --> 02:06:36.460]   different court systems. Hong Kong never had democracy under the British, but it did have a stronger rule of
[02:06:36.460 --> 02:06:43.100]   law and more independent courts, courts that sometimes decided things that went the other way than what the
[02:06:43.100 --> 02:06:52.140]   government wanted. And the mainland doesn't have that kind of court system, 98-99% conviction rate.
[02:06:52.140 --> 02:06:59.740]   In Hong Kong, if you're arrested even for it before 2020, if you were arrested even under a kind of
[02:06:59.740 --> 02:07:05.180]   politically-related charge, you were out on bail and giving interviews with the press. On the mainland,
[02:07:05.180 --> 02:07:14.940]   that didn't happen. So I think in 2019, even having lost the battle over voting, this idea that okay,
[02:07:14.940 --> 02:07:21.100]   we've really got to take a last stand to defend the rule of law and a kind of degree of separation of powers,
[02:07:21.900 --> 02:07:27.660]   that doesn't sound like a clearly obvious thing for slogans, but it is something that I think we've
[02:07:27.660 --> 02:07:35.020]   realized in this country and in other countries as well is something that can really be definitive
[02:07:35.020 --> 02:07:37.020]   about where things are going politically.
[02:07:37.020 --> 02:07:43.740]   Well, I should also say, I mean, it's more dramatic than it sounds with extradition because it gives power
[02:07:44.380 --> 02:07:53.580]   to mainland China to imprison sort of political activists and then try them in a very different
[02:07:53.580 --> 02:07:59.660]   way. So it's not just even a different system. It gives another lever and a powerful one to punish
[02:07:59.660 --> 02:08:02.140]   people that speak against China.
[02:08:02.140 --> 02:08:07.980]   And, you know, I mentioned the Hong Kong booksellers who were spirited over the border and one of them
[02:08:07.980 --> 02:08:13.340]   was still in prison for having published things in Hong Kong. But it was supposed to be okay to publish
[02:08:13.340 --> 02:08:17.980]   in Hong Kong, but not on the mainland. And yet they ended up, yeah, being charged. So yeah,
[02:08:17.980 --> 02:08:25.260]   there was a clear sense that if, if they didn't protest, then would they be able to protest later?
[02:08:25.260 --> 02:08:30.460]   So this was one of maybe the biggest protests in history?
[02:08:30.460 --> 02:08:35.820]   Percentage-wise, you know, because what I'm, the reason why I kind of make that claim,
[02:08:35.820 --> 02:08:41.900]   because there were a million to 2 million people in the biggest protests, and this is a 7.5 million
[02:08:42.780 --> 02:08:48.460]   people. So if you think about what that means, it's, it's just enormous. I mean, yeah,
[02:08:48.460 --> 02:08:54.140]   there were some very daring protests around that period, the Hong Kong ones. And the year after
[02:08:54.140 --> 02:08:58.540]   that, you know, there were protests in other places, but protests in Belarus, where again,
[02:08:58.540 --> 02:09:04.620]   there was a very, you know, taking big risks and people, but if people have a feeling that it's a kind
[02:09:04.620 --> 02:09:12.540]   of last moment. So yeah, these were, these were giant, and the protests kept growing. And I think
[02:09:12.540 --> 02:09:19.260]   they kept growing in part, and this happens, why protests grow, it's always hard to figure out. But
[02:09:19.260 --> 02:09:28.460]   in the case of Tiananmen and the case of Hong Kong, 2019, if people feel that the sort of protesters have
[02:09:28.460 --> 02:09:33.100]   the moral high ground in one way or another, and what, what tipped it that way in Hong Kong, I think,
[02:09:33.100 --> 02:09:40.700]   was really that the police were using really strong armed methods, and the government was never apologizing,
[02:09:40.700 --> 02:09:46.620]   or never saying we need to investigate that. And I think what really kept the protests going was they
[02:09:46.620 --> 02:09:55.660]   became a, they became a referendum on the right to protest itself. And the, what I think the government
[02:09:55.660 --> 02:10:02.860]   hoped, and what Beijing certainly hoped was that some of the protesters would start doing militant actions,
[02:10:02.860 --> 02:10:09.660]   violent actions that would alienate the populace from the protests. And the protesters did do some of
[02:10:09.660 --> 02:10:15.420]   those things, but they tended to attack, violence was often against property. And when there were
[02:10:15.420 --> 02:10:20.860]   occasionally violence against people, people within the movement would apologize or try to distance
[02:10:20.860 --> 02:10:26.780]   themselves from that. Meanwhile, the government was never apologizing or distancing itself from the police.
[02:10:26.780 --> 02:10:33.900]   And that created a dynamic where you had these enormous numbers of people who were previously on
[02:10:33.900 --> 02:10:39.580]   the fence about things, turning up for these protests and leading to them being giants.
[02:10:39.580 --> 02:10:46.140]   Even people, and this was a city that sometimes had the reputation, misunderstood reputation as being
[02:10:46.140 --> 02:10:51.100]   one that where people didn't care that much about politics. They just focused on living a good life.
[02:10:51.100 --> 02:10:57.180]   But there was a sense that they wouldn't have that possibility if you had a police, and the police used
[02:10:57.180 --> 02:11:00.700]   to be really highly respected in Hong Kong, but it lost that.
[02:11:00.700 --> 02:11:07.260]   Maybe you can speak to some of the dynamics of this. First of all, you were there in the early days,
[02:11:07.260 --> 02:11:11.260]   as I understand. How does the protest of this scale
[02:11:11.260 --> 02:11:21.260]   explode as it did? It starts with small groups of students, the youth. Maybe you can speak to in
[02:11:21.260 --> 02:11:28.380]   general from all the studying of youth protests. How does maybe anger, maybe
[02:11:28.380 --> 02:11:40.860]   ideological optimism, maybe the desire for revolution and for better times amongst a small group of
[02:11:40.860 --> 02:11:45.740]   students, how does that become a movement? And how does that become a gigantic protest?
[02:11:45.740 --> 02:11:54.780]   So protests, one of the things that some of the most impressive books I've been reading and about
[02:11:54.780 --> 02:12:04.060]   other places have been emphasizing is that protests are often preceded by other protests that may seem
[02:12:04.060 --> 02:12:10.700]   like dead ends, but actually provide people with the kind of skills and scripts and repertoires to then
[02:12:11.820 --> 02:12:19.340]   carry out things on a larger scale after that. So you often get, we get captivated by a moment that seems
[02:12:19.340 --> 02:12:25.900]   to come out of nowhere, but it often doesn't. It's been, the ground has been laid by, it can be by an
[02:12:25.900 --> 02:12:32.380]   earlier generation that passes on the stories about it, or it can be just a few years before. And sometimes
[02:12:32.380 --> 02:12:37.500]   a new generation will say, "Look at what they did, that was exciting, but we want to put our mark
[02:12:38.060 --> 02:12:44.460]   on things by a generation." So there were these 1986 protests that sort of fizzled out,
