
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[02:01:31.360 --> 02:01:31.880]   Yeah.
[02:01:31.880 --> 02:01:37.600]   That's actually a beautiful thing that might be another phase shift because it assigns credit correctly.
[02:01:37.600 --> 02:01:38.020]   Yeah.
[02:01:38.020 --> 02:01:42.220]   It does, it breaks you out of the silos of thought, you know.
[02:01:42.220 --> 02:01:42.720]   Yeah, yeah, yeah.
[02:01:42.720 --> 02:01:45.340]   No, there's a big hump to overcome right now.
[02:01:45.340 --> 02:01:47.040]   I mean, it's like self-driving cars.
[02:01:47.040 --> 02:01:47.960]   Right.
[02:01:47.960 --> 02:01:52.880]   You know, the safety margin has to be really high for it to be feasible.
[02:01:52.880 --> 02:02:04.540]   So, yeah, so there's a last mile problem with a lot of AI applications that, you know, they can develop tools that work 20%, 80% of the time, but it's still not good enough.
[02:02:04.540 --> 02:02:07.860]   And, in fact, even worse than good in some ways.
[02:02:07.860 --> 02:02:15.840]   I mean, another way of asking the Fields Medal question is, what year do you think you'll wake up and be, like, real surprised?
[02:02:15.840 --> 02:02:23.420]   You read the headline, the news of something happened that AI did, like, you know, real breakthrough, something.
[02:02:23.420 --> 02:02:32.200]   It doesn't, you know, like, Fields Medal, even hypothesis, it could be, like, really just this alpha zero moment would go, that kind of thing.
[02:02:32.200 --> 02:02:32.420]   Right.
[02:02:32.420 --> 02:02:42.180]   Yeah, this decade, I can see it, like, making a conjecture between two unrelated, two things that people thought was unrelated.
[02:02:42.180 --> 02:02:43.000]   Oh, interesting.
[02:02:43.000 --> 02:02:45.560]   Generating a conjecture that's a beautiful conjecture.
[02:02:45.560 --> 02:02:49.500]   Yeah, and actually has a real chance of being correct and meaningful.
[02:02:49.500 --> 02:02:54.000]   Because that's actually kind of doable, I suppose.
[02:02:54.000 --> 02:02:55.280]   But what are the data is?
[02:02:55.280 --> 02:02:55.800]   Yeah.
[02:02:55.800 --> 02:02:56.160]   Yeah.
[02:02:56.160 --> 02:02:57.860]   No, that would be truly amazing.
[02:02:57.860 --> 02:03:00.520]   The current models struggle a lot.
[02:03:00.520 --> 02:03:06.680]   I mean, so, a version of this is, I mean, the physicists have a dream of getting the AIs to discover new laws of physics.
[02:03:06.680 --> 02:03:15.000]   You know, the dream is you just feed it all this data, okay, and here is a new patent that we didn't see before.
[02:03:15.000 --> 02:03:21.040]   But it actually even struggles, the current state of the art even struggles to discover old laws of physics from the data.
[02:03:21.040 --> 02:03:32.880]   I mean, or if it does, there's a big concern on contamination, that it did it only because, like, somewhere in this training data, it already somehow knew, you know, Boyle's law or whatever you're trying to reconstruct.
[02:03:35.200 --> 02:03:38.020]   Part of it is that we don't have the right type of training data for this.
[02:03:38.020 --> 02:03:43.200]   So for laws of physics, like, we don't have, like, a million different universes or a million different laws of nature.
[02:03:45.600 --> 02:03:59.520]   And, like, a lot of what we're missing in math is actually the negative space of, so we have published things of things that people have been able to prove and conjectures that end up being verified or maybe counterexamples produced.
[02:03:59.680 --> 02:04:08.640]   But we don't have data on things that were proposed, and they're kind of a good thing to try, but then people quickly realized that it was the wrong conjecture.
[02:04:08.640 --> 02:04:14.600]   And then they said, oh, but we should actually change our claim to modify it in this way to actually make it more plausible.
[02:04:14.600 --> 02:04:23.660]   There's a trial and error process, which is a real integral part of human mathematical discovery, which we don't record because it's embarrassing.
[02:04:23.660 --> 02:04:27.040]   We make mistakes, and we only like to publish our wins.
[02:04:28.880 --> 02:04:32.200]   And the AI has no access to this data to train on.
[02:04:32.200 --> 02:04:47.020]   I sometimes joke that, basically, AI has to go through grad school and actually, you know, go to grad courses, do the assignments, go to office hours, make mistakes, get advice on how to correct the mistakes, and learn from that.
[02:04:47.020 --> 02:04:52.380]   Let me ask you, if I may, about Grigori Perlman.
[02:04:52.380 --> 02:04:58.500]   You mentioned that you try to be careful in your work and not let a problem completely consume you.
[02:04:58.500 --> 02:05:03.380]   Just, you've really fallen in love with the problem and really cannot rest until you solve it.
[02:05:03.380 --> 02:05:07.820]   But you also hasted to add that sometimes this approach actually can be very successful.
[02:05:07.820 --> 02:05:19.920]   An example you gave is Grigori Perlman, who proved the Poincaré conjecture and did so by working alone for seven years with basically little contact with the outside world.
[02:05:19.920 --> 02:05:31.140]   Can you explain this one millennial prize problem that's been solved, Poincaré conjecture, and maybe speak to the journey that Grigori Perlman's been on?
[02:05:31.640 --> 02:05:34.440]   All right, so it's a question about curved spaces.
[02:05:34.440 --> 02:05:35.400]   Earth is a good example.
[02:05:35.400 --> 02:05:36.820]   So Earth can think of a 2D surface.
[02:05:36.820 --> 02:05:41.180]   In just being round, it could maybe be a torus with a hole in it, or it could have many holes.
[02:05:41.180 --> 02:05:50.160]   And there are many different topologies, a priori, that a surface could have, even if you assume that it's bounded and smooth and so forth.
[02:05:50.720 --> 02:05:52.860]   So we have figured out how to classify surfaces.
[02:05:52.860 --> 02:05:56.420]   As a first approximation, everything is determined by something called the genus, how many holes it has.
[02:05:56.420 --> 02:05:59.840]   So a sphere has genus zero, a donut has genus one, and so forth.
[02:05:59.840 --> 02:06:04.600]   And one way you can tell these surfaces apart, probably the sphere has, which is called simply connected.
[02:06:04.600 --> 02:06:12.000]   If you take any closed loop on the sphere, like a big closed loop of rope, you can contract it to a point while staying on the surface.
[02:06:12.780 --> 02:06:14.660]   And the sphere has this property, but a torus doesn't.
[02:06:14.660 --> 02:06:22.180]   If you're on a torus, and you take a rope that goes around, say, the outer diameter torus, there's no way, it can't get through the hole.
[02:06:22.180 --> 02:06:23.980]   There's no way to contract it to a point.
[02:06:23.980 --> 02:06:32.320]   So it turns out that the sphere is the only surface with this property of contractibility, up to continuous deformations of the sphere.
[02:06:32.320 --> 02:06:36.000]   So things that are what are called topologically equivalent of the sphere.
[02:06:36.940 --> 02:06:38.680]   So Poincare asked the same question in higher dimensions.
[02:06:38.680 --> 02:06:44.340]   So it becomes hard to visualize, because the surface you can think of as embedded in three dimensions.
[02:06:44.340 --> 02:06:49.700]   But a curved three space, we don't have good intuition of 4D space to live in.
[02:06:49.700 --> 02:06:53.120]   And then there are also 3D spaces that can't even fit into four dimensions.
[02:06:53.120 --> 02:06:55.100]   You need five or six or higher.
[02:06:55.100 --> 02:07:00.780]   But anyway, mathematically, you can still pose this question, that if you have a bounded three-dimensional space now,
[02:07:00.780 --> 02:07:04.420]   which also has this simply connected property, that every loop can be contracted,
[02:07:04.420 --> 02:07:06.560]   can you turn it into a three-dimensional version of a sphere?
[02:07:06.560 --> 02:07:08.620]   And so this is the Poincare conjecture.
[02:07:08.620 --> 02:07:11.760]   Weirdly, in higher dimensions, four and five, it was actually easier.
[02:07:11.760 --> 02:07:14.560]   So it was solved first in higher dimensions.
[02:07:14.560 --> 02:07:16.480]   There's somehow more room to do the deformation.
[02:07:16.480 --> 02:07:19.860]   It's easier to move things around to a sphere.
[02:07:19.860 --> 02:07:21.760]   But three was really hard.
[02:07:21.760 --> 02:07:24.100]   So people tried many approaches.
[02:07:24.100 --> 02:07:29.080]   There's sort of commentary approaches where you chop up the surface into little triangles or tetrahedra,
[02:07:29.080 --> 02:07:31.980]   and you just try to argue based on how the faces interact with each other.
[02:07:31.980 --> 02:07:35.720]   There were algebraic approaches.
[02:07:36.300 --> 02:07:39.240]   There's various algebraic objects, like things called the fundamental group,
[02:07:39.240 --> 02:07:44.440]   that you can attach to these homology and cohomology and all these very fancy tools.
[02:07:44.440 --> 02:07:45.900]   They also didn't quite work.
[02:07:45.900 --> 02:07:51.860]   But Richard Hamilton's proposed a partial differential equations approach.
[02:07:52.220 --> 02:08:03.120]   So the problem is that you have this object which is sort of secretly a sphere, but it's given to you in a really weird way.
[02:08:03.120 --> 02:08:07.260]   So think of a ball that's being kind of crumpled up and twisted, and it's not obvious that it's a ball.
[02:08:08.780 --> 02:08:18.600]   But if you have some sort of surface which is a deformed sphere, you could, for example, think of it as the surface of a balloon.
[02:08:18.600 --> 02:08:19.760]   You could try to inflate it.
[02:08:19.760 --> 02:08:20.720]   You blow it up.
[02:08:21.720 --> 02:08:28.760]   And naturally, as you fill it up with air, the wrinkles will sort of smooth out, and it will turn into a nice round sphere.
[02:08:28.760 --> 02:08:32.660]   Unless, of course, it was a torus or something, in which case it would get stuck at some point.
[02:08:32.660 --> 02:08:35.740]   Like if you inflate a torus, there would be a point in the middle.
[02:08:35.740 --> 02:08:39.440]   When the inner ring shrinks to zero, you get a singularity, and you can't flow any further.
[02:08:39.440 --> 02:08:51.560]   So he created this flow which is now called Ritchie flow, which is a way of taking an arbitrary surface or space, and smoothing it out to make it rounder and rounder, to make it look like a sphere.
[02:08:51.560 --> 02:08:57.160]   And he wanted to show that either this process would give you a sphere, or it would create a singularity.
[02:08:57.160 --> 02:09:01.440]   It's very much like how PDEs, either they have global regularity or finite and blow up.
[02:09:01.440 --> 02:09:04.260]   Basically, it's almost exactly the same thing.
[02:09:04.260 --> 02:09:05.200]   It's all connected.
[02:09:05.200 --> 02:09:13.480]   And so, and he showed that for two dimensions, two-dimensional surfaces, if you start a simplification, no singularity is ever formed.
[02:09:13.480 --> 02:09:17.360]   You never ran into trouble, and you could flow, and it would give you a sphere.
[02:09:17.360 --> 02:09:20.360]   And so he got a new proof of the two-dimensional result.
[02:09:20.360 --> 02:09:24.240]   Well, by the way, that's a beautiful explanation of Ritchie flow and its application in this context.
