
[00:00:00.000 --> 00:00:01.640]   what do women want?
[01:57:36.400 --> 01:57:41.080]   So pair-bonding is one of the strategies.
[01:57:41.080 --> 01:57:44.300]   Pair-bonded long-term mating is one of the strategies.
[01:57:44.300 --> 01:57:47.520]   But that doesn't necessarily mean for decades and decades
[01:57:47.520 --> 01:57:50.760]   and our lifelong, 'cause we often pair-bond serially.
[01:57:50.760 --> 01:57:53.820]   So we get into a relationship that might last a year
[01:57:53.820 --> 01:57:55.900]   or five years and then break up
[01:57:55.900 --> 01:57:57.780]   and then form another relationship.
[01:57:57.780 --> 01:57:59.640]   So we engage in serial mating.
[01:57:59.640 --> 01:58:02.900]   We engage in infidelity.
[01:58:02.900 --> 01:58:07.900]   We engage in some short-term mating.
[01:58:07.900 --> 01:58:10.620]   And so we have what I describe
[01:58:10.620 --> 01:58:12.860]   as a menu of mating strategies.
[01:58:12.860 --> 01:58:17.200]   And which particular mating strategy an individual adopts
[01:58:17.200 --> 01:58:19.600]   depends on a wide variety of factors.
[01:58:19.600 --> 01:58:22.920]   I think some are just kind of personal proclivities.
[01:58:22.920 --> 01:58:24.580]   Some depend on your mate value.
[01:58:24.580 --> 01:58:27.300]   So if you are an eight, a nine, or a 10,
[01:58:27.300 --> 01:58:29.340]   you have more options
[01:58:29.340 --> 01:58:32.480]   for what mating strategy you wanna pursue.
[01:58:32.480 --> 01:58:33.860]   If you're a one or a two,
[01:58:33.860 --> 01:58:37.360]   you're not gonna be able to be polyamorous
[01:58:37.360 --> 01:58:38.660]   in all likelihood.
[01:58:38.660 --> 01:58:42.240]   There's a lot of attention to polyamory now.
[01:58:42.240 --> 01:58:47.480]   And it's unclear whether there's an increase in it
[01:58:47.480 --> 01:58:50.200]   or whether people are just talking about it more.
[01:58:50.200 --> 01:58:55.500]   It is the case, and I know several people
[01:58:55.500 --> 01:58:57.340]   who are in polyamorous relationships
[01:58:57.340 --> 01:59:01.220]   and I've talked with them in detail about them.
[01:59:01.220 --> 01:59:04.440]   And jealousy is often a factor in that.
[01:59:04.440 --> 01:59:08.900]   And they describe it as kind of like an emotion
[01:59:08.900 --> 01:59:13.020]   that has to be somehow tamed or dealt with in some way.
[01:59:13.020 --> 01:59:14.900]   And so in polyamory,
[01:59:14.900 --> 01:59:17.920]   there are many different types of polyamory.
[01:59:17.920 --> 01:59:20.040]   So in like one type, for example,
[01:59:20.040 --> 01:59:22.760]   is you have a primary love partner
[01:59:22.760 --> 01:59:26.860]   and then some others on the side that are permitted,
[01:59:26.860 --> 01:59:29.720]   usually within in consensual terms,
[01:59:29.720 --> 01:59:33.680]   within an explicit contract
[01:59:33.680 --> 01:59:35.540]   that the primary partners work out.
[01:59:35.540 --> 01:59:37.480]   So it's okay if you,
[01:59:37.480 --> 01:59:40.080]   I know as one couple,
[01:59:40.080 --> 01:59:44.080]   it's okay if you do it outside the city limits
[01:59:44.080 --> 01:59:47.000]   of Los Angeles, but not within.
[01:59:47.000 --> 01:59:49.160]   Some say it's okay for Thursday,
[01:59:49.160 --> 01:59:52.880]   but I want the weekend, Friday and Saturday nights to me.
[01:59:52.880 --> 01:59:57.920]   It's okay if there's sexual involvement,
[01:59:57.920 --> 01:59:59.940]   but no emotional involvement.
[01:59:59.940 --> 02:00:03.680]   So there are different strategies that people work out.
[02:00:03.680 --> 02:00:07.880]   And some of them are designed to try to keep jealousy at bay.
[02:00:07.880 --> 02:00:09.640]   So I think it's an evolved emotion
[02:00:09.640 --> 02:00:13.340]   that is a natural emotion that people experience.
[02:00:14.220 --> 02:00:16.540]   Now, interestingly, there's a,
[02:00:16.540 --> 02:00:18.000]   while we're on this topic,
[02:00:18.000 --> 02:00:20.060]   there's a sex difference therein,
[02:00:20.060 --> 02:00:23.820]   namely if you contrast sexual jealousy
[02:00:23.820 --> 02:00:25.740]   with emotional jealousy
[02:00:25.740 --> 02:00:29.580]   or sexual infidelity with emotional infidelity.
[02:00:29.580 --> 02:00:32.760]   And so we, in one set of studies,
[02:00:32.760 --> 02:00:35.020]   I put my participants,
[02:00:35.020 --> 02:00:37.400]   or we used to call them subjects,
[02:00:37.400 --> 02:00:39.780]   into this, what I call the Sophie's choice
[02:00:39.780 --> 02:00:41.780]   of the jealousy dilemmas.
[02:00:41.780 --> 02:00:43.580]   Where I said, imagine your partner
[02:00:43.580 --> 02:00:45.780]   became interested in someone else,
[02:00:45.780 --> 02:00:48.780]   and you discover that they have had
[02:00:48.780 --> 02:00:51.580]   passionate sexual intercourse with this person,
[02:00:51.580 --> 02:00:55.460]   and they've gotten emotionally involved with them,
[02:00:55.460 --> 02:00:57.460]   they've fallen in love with them.
[02:00:57.460 --> 02:01:01.500]   Which aspect of the infidelity upsets you more?
[02:01:01.500 --> 02:01:05.020]   And when you, and that's why I call it the Sophie's choice,
[02:01:05.020 --> 02:01:06.980]   both terrible choices, right?
[02:01:06.980 --> 02:01:08.040]   - Yeah.
[02:01:08.040 --> 02:01:10.100]   - But men much more likely to say
[02:01:10.100 --> 02:01:13.260]   the sexual infidelity is what upsets me.
[02:01:13.260 --> 02:01:15.540]   More women, it's like, why are you even asking me?
[02:01:15.540 --> 02:01:16.420]   It's a no-brainer.
[02:01:16.420 --> 02:01:19.220]   85% of the women say the emotional infidelity
[02:01:19.220 --> 02:01:21.100]   is what bothers them more.
[02:01:21.100 --> 02:01:23.420]   Former student of mine, Barry Cooley,
[02:01:23.420 --> 02:01:26.340]   did a really interesting study of analysis
[02:01:26.340 --> 02:01:28.740]   of this reality show called Cheaters.
[02:01:28.740 --> 02:01:29.860]   I've actually never seen it,
[02:01:29.860 --> 02:01:34.860]   but where if you suspect your partner of cheating,
[02:01:35.180 --> 02:01:39.700]   then a detective from the TV team will follow the person,
[02:01:39.700 --> 02:01:42.180]   and then they'll call up and say,
[02:01:42.180 --> 02:01:46.180]   we've just found your husband here in the No-Tell Motel,
[02:01:46.180 --> 02:01:48.060]   do you wanna come down and talk to him?
[02:01:48.060 --> 02:01:50.140]   And so what he analyzed, though,
[02:01:50.140 --> 02:01:53.660]   was the verbal interrogations that people had
[02:01:53.660 --> 02:01:55.540]   when they confronted their partner,
[02:01:55.540 --> 02:02:00.540]   and women wanted to know, are you in love with her?
[02:02:00.540 --> 02:02:04.580]   Men wanted to know, did you fuck him?
[02:02:04.580 --> 02:02:06.260]   Or did you have sex with him?
[02:02:06.260 --> 02:02:09.540]   And so it's this sex difference in sensitivity
[02:02:09.540 --> 02:02:12.500]   to these different cues of infidelity.
[02:02:12.500 --> 02:02:15.020]   And of course, there's an evolutionary logic
[02:02:15.020 --> 02:02:18.940]   to this sex difference, and it's been replicated,
[02:02:18.940 --> 02:02:20.500]   not the Cheaters study,
[02:02:20.500 --> 02:02:24.940]   but the hypothetical Sophie's Choice study.
[02:02:24.940 --> 02:02:27.780]   It's been replicated now in Sweden and China,
[02:02:27.780 --> 02:02:30.900]   and it's a universal sex difference.
[02:02:30.900 --> 02:02:32.620]   - So given that sex difference,
[02:02:32.620 --> 02:02:35.300]   and you mentioned another one that just returned to,
[02:02:35.300 --> 02:02:38.540]   which is in the engineering disciplines.
[02:02:38.540 --> 02:02:40.900]   - Yeah, person thing, orientation.
[02:02:40.900 --> 02:02:43.220]   - So until I started to see,
[02:02:43.220 --> 02:02:46.580]   writing about it in the psychology literature,
[02:02:46.580 --> 02:02:48.860]   I observed this anecdotally a lot.
[02:02:48.860 --> 02:02:51.340]   And the reason I observed it is I was confused.
[02:02:51.340 --> 02:02:54.620]   So I care a lot about robots, I'm a robotics person.
[02:02:54.620 --> 02:02:58.320]   And so a lot of males in the robotics community
[02:02:58.320 --> 02:03:00.100]   really didn't care about what's called
[02:03:00.100 --> 02:03:02.260]   the human-robot interaction problem,
[02:03:02.260 --> 02:03:05.140]   which is like robots when they interact with humans.
[02:03:05.140 --> 02:03:08.900]   And then a lot of females, all brilliant
[02:03:08.900 --> 02:03:10.540]   in the robotics community,
[02:03:10.540 --> 02:03:12.340]   cared about the human-robot interaction.
[02:03:12.340 --> 02:03:14.100]   They cared about the human,
[02:03:14.100 --> 02:03:16.340]   what the robot communicates with the human,
[02:03:16.340 --> 02:03:18.700]   human in the picture, human in the loop.
[02:03:18.700 --> 02:03:21.780]   And I was really confused, 'cause the difference to me
[02:03:21.780 --> 02:03:24.820]   in my anecdotal interactions,
[02:03:24.820 --> 02:03:27.300]   but the N is quite large there.
[02:03:27.300 --> 02:03:31.380]   I'm in the robotics community, I know a lot of people.
[02:03:31.380 --> 02:03:34.620]   And I was confused because for me,
[02:03:34.620 --> 02:03:37.180]   I really care about human-robot interaction.
[02:03:37.180 --> 02:03:40.700]   I care about both a lot.
[02:03:40.700 --> 02:03:44.980]   And the same thing here in terms of emotional cheating
[02:03:44.980 --> 02:03:46.860]   versus physical cheating.
[02:03:46.860 --> 02:03:50.500]   I care a lot about both, and I have this oscillating brain.
[02:03:50.500 --> 02:03:53.000]   So I wonder what that says about my brain.
[02:03:53.000 --> 02:03:54.980]   So I'll often wonder this,
[02:03:54.980 --> 02:03:57.300]   'cause there's specific sex differences
[02:03:57.300 --> 02:04:00.100]   that are represented in the data in the literature,
[02:04:00.100 --> 02:04:03.380]   and they seem to oscillate depending on mood.
[02:04:03.380 --> 02:04:06.140]   And I wonder what that says about me.
[02:04:06.140 --> 02:04:09.900]   Why do I care so much about that robot on the floor?
[02:04:09.900 --> 02:04:14.420]   I care not, half I care about how it works,
[02:04:14.420 --> 02:04:18.060]   and the other half, how it makes other people feel.
[02:04:18.060 --> 02:04:18.900]   What is that?
[02:04:18.900 --> 02:04:20.380]   - Yeah, so I guess what I would say,
[02:04:20.380 --> 02:04:22.880]   this gets back to our earlier discussion
[02:04:22.880 --> 02:04:24.780]   of agency and communion,
[02:04:24.780 --> 02:04:29.100]   where I actually think that it's a sign
[02:04:29.100 --> 02:04:34.100]   of being well-balanced, to have both capacities within you.
[02:04:34.100 --> 02:04:39.100]   And so you get people who are unimodal,
[02:04:39.100 --> 02:04:42.300]   or they just have one mode of operating.
[02:04:42.300 --> 02:04:43.980]   Let's say it's the thing mode,
[02:04:43.980 --> 02:04:46.940]   which engineers tend to be good at.
[02:04:46.940 --> 02:04:50.380]   You have to be good at it to be a good engineer,
[02:04:50.380 --> 02:04:52.340]   'cause things have to actually work.
[02:04:52.340 --> 02:04:56.020]   It's not in some dream or hypothetical state.
[02:04:56.020 --> 02:04:58.480]   Things have to actually work.
[02:04:58.480 --> 02:05:00.540]   But with the agency and communion,
[02:05:00.540 --> 02:05:02.540]   I think it's good to have a balance.
[02:05:02.540 --> 02:05:04.740]   And that's why I think some of the best
[02:05:04.740 --> 02:05:08.620]   romantic relationships are those where people are,
[02:05:08.620 --> 02:05:12.180]   they're high on what they used to call androgyny,
[02:05:12.180 --> 02:05:15.860]   where they have both the positive features
[02:05:15.860 --> 02:05:17.500]   of agency and communion,
[02:05:17.500 --> 02:05:21.740]   the positive features of masculinity and femininity
[02:05:21.740 --> 02:05:23.020]   within the same mix,
[02:05:23.020 --> 02:05:28.020]   but also with the footnote of not the unmitigated agency
[02:05:28.380 --> 02:05:32.000]   or unmitigated communion, both of which can be negative.
[02:05:32.000 --> 02:05:35.360]   And so I view these as capacities,
[02:05:35.360 --> 02:05:38.400]   and some people are out of balance,
[02:05:38.400 --> 02:05:40.560]   some people have a good balance between the two.
[02:05:40.560 --> 02:05:42.440]   It sounds like you have a good balance between the two.
[02:05:42.440 --> 02:05:43.820]   - Well, but also the allocation.
[02:05:43.820 --> 02:05:46.060]   I feel like it's a very dynamic thing.
[02:05:46.060 --> 02:05:51.060]   It's like, I'm at least aware, for me personally,
[02:05:51.060 --> 02:05:54.960]   of the beauty between humans,
[02:05:54.960 --> 02:05:57.800]   of the dance of the push and pull,
[02:05:57.800 --> 02:05:59.640]   of the different moods.
[02:05:59.640 --> 02:06:01.200]   It's like a dynamical system.
[02:06:01.200 --> 02:06:04.880]   It's not two static entities fully represented
[02:06:04.880 --> 02:06:07.120]   and consistent through every interaction.
[02:06:07.120 --> 02:06:08.720]   Sometimes, you know,
[02:06:08.720 --> 02:06:13.160]   people might confuse the fact that I often talk about love,
[02:06:13.160 --> 02:06:17.480]   and I love humans, that I don't have a temper,
[02:06:17.480 --> 02:06:20.880]   that I don't have, like, I lose my shit all the time,
[02:06:20.880 --> 02:06:23.800]   especially on things I really am passionate about,
[02:06:23.800 --> 02:06:26.440]   like people I work with and so on.
[02:06:26.440 --> 02:06:28.200]   I'm all over the place.
[02:06:28.200 --> 02:06:30.760]   But underneath it, there's a deep love and respect
[02:06:30.760 --> 02:06:32.960]   for humans, but I lose my shit all the time.
[02:06:32.960 --> 02:06:38.600]   And that chaos, that rollercoaster,
[02:06:38.600 --> 02:06:41.200]   I think that's what makes human relations awesome.
[02:06:41.200 --> 02:06:43.480]   I mean, the push and pull of it.
[02:06:43.480 --> 02:06:45.980]   Of course, it can oscillate too far,
[02:06:45.980 --> 02:06:48.880]   which is when it becomes Amber Heard type of situation,
[02:06:48.880 --> 02:06:51.640]   when it turns to emotional or physical violence,
[02:06:51.640 --> 02:06:55.920]   when it turns to jealousy, crosses a line where it's hurtful
[02:06:55.920 --> 02:07:00.920]   and there's like, it crosses that vast gray landscape
[02:07:00.920 --> 02:07:06.840]   of what is abuse versus what is just beautiful turmoil
[02:07:06.840 --> 02:07:11.640]   of human nature, right?
[02:07:11.640 --> 02:07:13.040]   - Yes, yeah.
[02:07:13.040 --> 02:07:15.560]   - And it's complicated, yeah.
[02:07:15.560 --> 02:07:18.400]   - Yeah, it's complicated and it's dynamic,
[02:07:18.400 --> 02:07:20.560]   and I would just add to that.
[02:07:20.560 --> 02:07:22.520]   I thought you phrased that brilliantly,
[02:07:22.520 --> 02:07:24.920]   but I would just add to that.
[02:07:24.920 --> 02:07:27.720]   It also depends on sort of what you're trying to do.
[02:07:27.720 --> 02:07:32.120]   And so I think some of the oscillation can be what task,
[02:07:32.120 --> 02:07:34.480]   what problem you're trying to solve.
