
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[01:14:50.660 --> 01:14:52.940]   so it wouldn't get on the internet.
[01:14:52.940 --> 01:14:56.020]   You know, again, if we take seriously
[01:14:56.020 --> 01:14:59.420]   the rate at which all of this is gonna happen,
[01:14:59.420 --> 01:15:01.700]   which I don't know, I can't be sure of it,
[01:15:01.700 --> 01:15:04.020]   but if we take that seriously,
[01:15:04.020 --> 01:15:06.780]   then, you know, it does make me think
[01:15:06.780 --> 01:15:09.340]   that maybe not something quite as cartoonish as that,
[01:15:09.340 --> 01:15:11.940]   but that something like that might happen.
[01:15:12.100 --> 01:15:13.540]   - What is the timescale on which
[01:15:13.540 --> 01:15:15.220]   you think alignment is solvable?
[01:15:15.220 --> 01:15:17.580]   If, like, these models are getting to human level
[01:15:17.580 --> 01:15:19.660]   in some things in two to three years,
[01:15:19.660 --> 01:15:21.500]   what is the point at which they're aligned?
[01:15:21.500 --> 01:15:23.100]   - I think this is a really difficult question
[01:15:23.100 --> 01:15:25.420]   because I actually think often people are thinking about
[01:15:25.420 --> 01:15:27.380]   kind of alignment in the wrong way.
[01:15:27.380 --> 01:15:29.620]   I think there's a general feeling that it's, like,
[01:15:29.620 --> 01:15:31.820]   models are misaligned or, like,
[01:15:31.820 --> 01:15:34.380]   there's, like, an alignment problem to solve,
[01:15:34.380 --> 01:15:36.420]   kind of like the Riemann hypothesis or something.
[01:15:36.420 --> 01:15:39.260]   Like, someday we'll crack the Riemann hypothesis.
[01:15:39.260 --> 01:15:41.500]   I don't quite think it's like that.
[01:15:41.500 --> 01:15:44.100]   Not in a way that's worse or better.
[01:15:44.100 --> 01:15:47.580]   It might be just as bad or just as unpredictable.
[01:15:47.580 --> 01:15:51.540]   When I think of, like, you know, why am I scared?
[01:15:51.540 --> 01:15:52.620]   Few things I think of.
[01:15:52.620 --> 01:15:54.460]   One is, look, like,
[01:15:54.460 --> 01:15:57.180]   I think the thing that's really hard to argue with is, like,
[01:15:57.180 --> 01:15:58.580]   there will be powerful models.
[01:15:58.580 --> 01:15:59.940]   They will be agentic.
[01:15:59.940 --> 01:16:01.460]   We're getting towards them.
[01:16:01.460 --> 01:16:04.540]   If such a model wanted to wreak havoc
[01:16:04.540 --> 01:16:06.620]   and destroy humanity or whatever,
[01:16:06.620 --> 01:16:09.100]   I think we have basically no ability to stop it.
[01:16:09.100 --> 01:16:11.500]   Like, that's, I think, just,
[01:16:11.500 --> 01:16:13.100]   if that's not true at some point,
[01:16:13.100 --> 01:16:15.100]   it'll continue to be true as we, you know,
[01:16:15.100 --> 01:16:16.500]   it will reach the point where it's true
[01:16:16.500 --> 01:16:18.300]   as we scale the models.
[01:16:18.300 --> 01:16:20.340]   So that definitely seems the case.
[01:16:20.340 --> 01:16:22.580]   And I think a second thing that seems the case
[01:16:22.580 --> 01:16:26.380]   is that we seem to be bad at controlling the models,
[01:16:26.380 --> 01:16:28.100]   not in any particular way,
[01:16:28.100 --> 01:16:30.140]   but just they're statistical systems
[01:16:30.140 --> 01:16:31.900]   and you can ask them a million things
[01:16:31.900 --> 01:16:34.380]   and they can say a million things in reply.
[01:16:34.380 --> 01:16:35.820]   And, you know, you might not have thought
[01:16:35.820 --> 01:16:38.620]   of a millionth of one thing that does something crazy.
[01:16:38.620 --> 01:16:39.700]   Or when you train them,
[01:16:39.700 --> 01:16:41.500]   you train them in this very abstract way
[01:16:41.500 --> 01:16:44.140]   and you might not understand all the consequences
[01:16:44.140 --> 01:16:46.540]   of what they do in response to that.
[01:16:46.540 --> 01:16:49.020]   I mean, I think the best example we've seen of that
[01:16:49.020 --> 01:16:51.300]   is like being in Sydney, right?
[01:16:51.300 --> 01:16:53.540]   Where it's like, I don't know how they train that model.
[01:16:53.540 --> 01:16:55.220]   I don't know what they did to make it
[01:16:55.220 --> 01:16:56.860]   do all this weird stuff, like, you know,
[01:16:56.860 --> 01:16:58.980]   threaten people and, you know,
[01:16:58.980 --> 01:17:01.660]   have this kind of weird obsessive personality.
[01:17:01.660 --> 01:17:04.220]   But what it shows is that we can get something
[01:17:04.220 --> 01:17:07.620]   very different from and maybe opposite to what we intended.
[01:17:07.620 --> 01:17:09.740]   And so I actually think facts number one
[01:17:09.740 --> 01:17:14.020]   and fact number two are like enough to be really worried.
[01:17:14.020 --> 01:17:16.900]   Like you don't need all this detailed stuff about,
[01:17:16.900 --> 01:17:20.300]   you know, convergent instrumental goals or, you know,
[01:17:20.300 --> 01:17:21.700]   analogies to evolution.
[01:17:21.700 --> 01:17:24.380]   Like actually one and two for me are pretty motivated.
[01:17:24.380 --> 01:17:26.500]   I'm like, okay, this thing's gonna be powerful.
[01:17:26.500 --> 01:17:27.900]   It could destroy us.
[01:17:27.900 --> 01:17:30.420]   And like all the ones we've built so far,
[01:17:30.420 --> 01:17:32.820]   like, you know, are at pretty decent risk
[01:17:32.820 --> 01:17:34.900]   of doing some random shit we don't understand.
[01:17:34.900 --> 01:17:36.980]   Yeah, if I agree with that and I'm like, okay,
[01:17:36.980 --> 01:17:37.980]   I'm concerned about this.
[01:17:37.980 --> 01:17:42.060]   The research agenda you have of mechanistic interoperability
[01:17:42.060 --> 01:17:45.780]   plus, you know, constant AI and the other RLHF stuff.
[01:17:45.780 --> 01:17:48.300]   If you say that we're gonna get something
[01:17:48.300 --> 01:17:49.300]   with like bioweapons or something
[01:17:49.300 --> 01:17:50.900]   that could be dangerous in two to three years.
[01:17:50.900 --> 01:17:51.740]   Yes.
[01:17:51.740 --> 01:17:53.900]   Do these things culminate within two to three years
[01:17:53.900 --> 01:17:57.020]   of actually meaningfully contributing to preventing?
[01:17:57.020 --> 01:17:57.860]   Yes.
[01:17:57.860 --> 01:18:00.420]   So I think where I was gonna go with this is like,
[01:18:00.420 --> 01:18:02.460]   you know, people talk about like doom by default
[01:18:02.460 --> 01:18:03.780]   or alignment by default.
[01:18:03.780 --> 01:18:05.940]   Like, I think it might be kind of statistical.
[01:18:05.940 --> 01:18:08.940]   Like, you know, like you might get, you know,
[01:18:08.940 --> 01:18:11.340]   with the current models, you might get Bing or Sydney
[01:18:11.340 --> 01:18:13.140]   or you might get Claude and it doesn't really matter
[01:18:13.140 --> 01:18:14.820]   'cause Bing or Sydney, like,
[01:18:14.820 --> 01:18:17.900]   if we take our current understanding and, you know,
[01:18:17.900 --> 01:18:20.460]   move that to very powerful models,
[01:18:20.460 --> 01:18:22.860]   you might just be in this world where it's like, okay,
[01:18:22.860 --> 01:18:24.820]   you make something and depending on the details,
[01:18:24.820 --> 01:18:26.620]   maybe it's totally fine.
[01:18:26.620 --> 01:18:28.860]   You know, not really alignment by default,
[01:18:28.860 --> 01:18:31.540]   but just kind of like, it depends on a lot of the details.
[01:18:31.540 --> 01:18:34.780]   And like, if you're very careful about all those details
[01:18:34.780 --> 01:18:35.620]   and you know what you're doing,
[01:18:35.620 --> 01:18:36.580]   you're getting it right.
[01:18:36.580 --> 01:18:40.060]   But we have a high susceptibility to you mess something up
[01:18:40.060 --> 01:18:42.260]   in a way that you didn't really understand
[01:18:42.260 --> 01:18:44.060]   was connected to actually,
[01:18:44.060 --> 01:18:45.740]   instead of making all the humans happy,
[01:18:45.740 --> 01:18:47.460]   it wants to, you know, turn them into pumpkins.
[01:18:47.460 --> 01:18:49.460]   Yeah, you know, just some weird shit, right?
[01:18:49.460 --> 01:18:51.180]   Because the models are so powerful, you know,
[01:18:51.180 --> 01:18:53.380]   they're like these kind of giants that are, you know,
[01:18:53.380 --> 01:18:55.820]   they're like, you know, they're standing in the landscape.
[01:18:55.820 --> 01:18:57.620]   And if they start to move their arms around randomly,
[01:18:57.620 --> 01:18:59.900]   they could just break everything.
[01:18:59.900 --> 01:19:02.460]   I guess I'm starting it with that kind of framing
[01:19:02.460 --> 01:19:04.660]   because it's not like, I don't think we're aligned
[01:19:04.660 --> 01:19:05.500]   by default.
[01:19:05.500 --> 01:19:07.100]   I don't think we're doomed by default
[01:19:07.100 --> 01:19:09.260]   and have some problem we need to solve.
[01:19:09.260 --> 01:19:11.140]   It has some kind of different character.
[01:19:11.140 --> 01:19:13.980]   Now, what I do think is that hopefully
[01:19:13.980 --> 01:19:16.180]   within a timescale of two to three years,
[01:19:16.180 --> 01:19:19.140]   we get better at diagnosing when the models are good
[01:19:19.140 --> 01:19:20.220]   and when they're bad.
[01:19:20.220 --> 01:19:23.020]   We get better at training, you know,
[01:19:23.020 --> 01:19:27.580]   increasing our repertoire of methods to train the model
[01:19:27.580 --> 01:19:29.380]   that they're less likely to do bad things
[01:19:29.380 --> 01:19:31.020]   and more likely to do good things
[01:19:31.020 --> 01:19:33.380]   in a way that isn't just relevant to the current models,
[01:19:33.380 --> 01:19:34.500]   but scales.
[01:19:34.500 --> 01:19:36.980]   And we can help develop that with interpretability
[01:19:36.980 --> 01:19:38.260]   as the test set.
[01:19:38.260 --> 01:19:40.980]   I don't think of it as, oh man, we tried our LHF,
[01:19:40.980 --> 01:19:41.820]   it didn't work.
[01:19:41.820 --> 01:19:43.420]   We tried constitutional, it didn't work.
[01:19:43.420 --> 01:19:45.340]   Like we tried this other thing, it didn't work.
[01:19:45.340 --> 01:19:47.020]   We tried mechanistic interpretability,
[01:19:47.020 --> 01:19:48.980]   now we're gonna try mechanistic.
[01:19:48.980 --> 01:19:50.660]   I think this frame of like,
[01:19:50.660 --> 01:19:52.300]   man, we haven't cracked the problem yet.
[01:19:52.300 --> 01:19:56.460]   We haven't solved the Riemann hypothesis isn't quite right.
[01:19:56.460 --> 01:20:00.860]   I think of it more as already with today's systems,
[01:20:00.860 --> 01:20:02.580]   we are not very good at controlling them.
[01:20:02.580 --> 01:20:06.340]   And the consequences of that could be very bad.
[01:20:06.340 --> 01:20:11.140]   We just need to get more ways of like increasing
[01:20:11.140 --> 01:20:14.780]   the likelihood that we can control our models
[01:20:14.780 --> 01:20:16.540]   and understand what's going on in them.
[01:20:16.540 --> 01:20:19.260]   And like, we have some of them so far,
[01:20:19.260 --> 01:20:21.300]   they aren't that good yet.
[01:20:21.300 --> 01:20:23.900]   But you know, I don't think of it as binary
[01:20:23.900 --> 01:20:25.540]   of like works and not works.
[01:20:25.540 --> 01:20:26.940]   We're gonna develop more.
[01:20:26.940 --> 01:20:29.380]   And I do think that over the next two to three years,
[01:20:29.380 --> 01:20:31.980]   we're gonna start eating that probability mass
[01:20:31.980 --> 01:20:33.980]   of ways things can go wrong.
[01:20:33.980 --> 01:20:36.100]   You know, it's kind of like in the core safety views paper,
[01:20:36.100 --> 01:20:39.300]   there's a probability mass of how hard the problem is.
[01:20:39.300 --> 01:20:40.580]   I feel like that way of staying,
[01:20:40.580 --> 01:20:42.340]   it isn't really even quite right, right?
[01:20:42.340 --> 01:20:43.620]   'Cause I don't feel like it's
[01:20:43.620 --> 01:20:45.260]   the Riemann hypothesis to solve.
[01:20:45.260 --> 01:20:49.380]   I just feel like, you know, it's almost like right now,
[01:20:49.380 --> 01:20:51.660]   if I try and juggle five balls or something,
[01:20:51.660 --> 01:20:53.380]   I can juggle three balls, right?
[01:20:53.380 --> 01:20:56.300]   I actually can, but I can't juggle five balls at all, right?
[01:20:56.300 --> 01:20:57.860]   You have to practice a lot to do that.
[01:20:57.860 --> 01:21:01.500]   If I were to do that, I would almost certainly drop them.
[01:21:01.500 --> 01:21:02.900]   And then just over time,
[01:21:02.900 --> 01:21:05.620]   you just get better at the task of controlling the balls.
[01:21:05.620 --> 01:21:07.220]   - On that post in particular,
[01:21:07.220 --> 01:21:10.380]   what is your personal probability distribution over,
[01:21:10.380 --> 01:21:13.300]   so for the audience, the three possibilities are,
[01:21:13.300 --> 01:21:15.300]   it is like trivial to align these models
[01:21:15.300 --> 01:21:18.820]   with RLHF plus plus, two, it is a difficult problem,
[01:21:18.820 --> 01:21:21.420]   but one that a big company could solve,
[01:21:21.420 --> 01:21:23.900]   two, something that is like basically impossible
[01:21:23.900 --> 01:21:25.900]   for human civilization currently to solve.
[01:21:25.900 --> 01:21:27.180]   If I'm capturing those three,
[01:21:27.180 --> 01:21:28.700]   what is your probability distribution
[01:21:28.700 --> 01:21:29.740]   over those three personally?
[01:21:29.740 --> 01:21:31.900]   - Yeah, I mean, I'm not super into like,
[01:21:31.900 --> 01:21:34.180]   what's your probability distribution of X?
[01:21:34.180 --> 01:21:36.580]   I think all of those have enough likelihood that,
[01:21:36.580 --> 01:21:38.820]   you know, they should be considered seriously.
[01:21:38.820 --> 01:21:39.980]   I'm more interested,
[01:21:39.980 --> 01:21:41.980]   question I'm much more interested in is,
[01:21:41.980 --> 01:21:43.300]   what could we learn
[01:21:43.300 --> 01:21:45.260]   that shifts probability mass between them?
[01:21:45.260 --> 01:21:46.100]   - What is the answer to that?
[01:21:46.100 --> 01:21:48.260]   - I think that one of the things
[01:21:48.260 --> 01:21:50.580]   mechanistic interpretability is gonna do
[01:21:50.580 --> 01:21:54.140]   more than necessarily solve problems
[01:21:54.140 --> 01:21:56.020]   is it's gonna tell us what's going on
