
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[02:01:10.400 --> 02:01:15.280]   But, but once you start getting into Europe or getting into the kind of the, the meat of highly
[02:01:15.280 --> 02:01:20.560]   populated countries in the far East, um, for example, that's a different kettle of fish
[02:01:20.560 --> 02:01:26.800]   because the scale of destruction is absolutely immense, but it is also the job of, of political
[02:01:26.800 --> 02:01:33.520]   leaders, um, to look after and defend their own peoples first and foremost. And so what you're
[02:01:33.520 --> 02:01:37.600]   doing is you're trying to protect your own sovereignty, your own people before you're
[02:01:37.600 --> 02:01:45.680]   protecting other people. And so that's what leads to, you know, the whole way in which the allies are,
[02:01:45.680 --> 02:01:51.040]   the Western allies are protracting war is to try and minimize the number of deaths of their own young
[02:01:51.040 --> 02:01:57.520]   men as much as they possibly can whilst at the same time winning the war. And that means bringing lots
[02:01:57.520 --> 02:02:01.760]   of destruction to your enemies, but also trying to minimize it. And the way you bring lots of destruction
[02:02:01.760 --> 02:02:06.560]   by to your enemies is by using immense firepower and this concept of steel, not our flesh, which I
[02:02:06.560 --> 02:02:13.040]   mentioned earlier on and technology, um, so that you don't have to bring to bear too many of your
[02:02:13.040 --> 02:02:18.160]   young men's eyes. You don't have a repeat of the slaughter of the first world war. So, you know,
[02:02:18.160 --> 02:02:22.640]   it is really interesting that, that in, in our mind's eye, when we're thinking of, you know,
[02:02:22.640 --> 02:02:28.080]   the Western allies and the second world war, probably the first thing that comes into mind is Americans
[02:02:28.080 --> 02:02:33.600]   jumping out of landing craft on Omaha beach on D day, for example, those are infantrymen. They're the
[02:02:33.600 --> 02:02:38.160]   front line. They are the coal face of that. They're the first people going into the, into the fire of
[02:02:38.160 --> 02:02:44.960]   the enemy. And we tend to think about guys in tanks, um, infantrymen with their Garand rifles or,
[02:02:44.960 --> 02:02:49.200]   you know, machine guns or whatever. That's, that's what springs to mind. Yet actually they're a
[02:02:49.200 --> 02:02:56.000]   comparatively small proportion of the army. So no more than 14 to 15% of any army allied army is
[02:02:56.000 --> 02:03:02.560]   infantry. 45% are service corps, service troops, driving trucks and cooks and bottle washers and
[02:03:02.560 --> 02:03:06.800]   people lugging great big boxes of stuff, you know, and that's because by that stage, you know,
[02:03:06.800 --> 02:03:11.520]   the allies have worked out of the way of war, which is, is to, is to use is what I call big war,
[02:03:11.520 --> 02:03:17.680]   this concept of, of a very long tail logistics, the operational art, making sure that people have
[02:03:17.680 --> 02:03:23.200]   the absolute best you possibly can. Great medical care, huge advances in, in, in first aid and a
[02:03:23.200 --> 02:03:29.360]   medical care of troops, getting them back onto the battlefield and you're using firepower and
[02:03:29.360 --> 02:03:35.520]   technology and mechanization to do a lot of your hard yards. So, you know, that's the principle
[02:03:35.520 --> 02:03:39.520]   behind strategic bombing. You know, if you can, if you go over and bomb and you can destroy
[02:03:39.520 --> 02:03:46.080]   infrastructure and civilians and households, that makes it much harder for, for Krupp to make those
[02:03:46.080 --> 02:03:52.080]   panther tanks and tiger tanks or whatever it might be and guns. Uh, and you know, you're disrupting the
[02:03:52.080 --> 02:03:57.280]   transportation system in Germany, you know, you're making life difficult for them to do what they need
[02:03:57.280 --> 02:04:02.240]   to do. Then that means it's going to be easier for those 15, 14, 15% of infantry. And you've got to
[02:04:02.240 --> 02:04:07.040]   jump out of landing craft to do their job. And you're trying to keep that to a minimum. And you'd have to
[02:04:07.040 --> 02:04:12.000]   say, broadly speaking, that's a very sensible policy that makes an awful lot of sense. Um,
[02:04:13.360 --> 02:04:19.440]   consequence of that is a huge amount of destruction. And maybe that's what Daryl Cooper's driving at,
[02:04:19.440 --> 02:04:26.480]   but no one asked Hitler to invade Poland. I mean, you know, that is the bottom line. No one asked Germany
[02:04:26.480 --> 02:04:32.240]   to go to war. No one asked Hitler to come up with these ludicrous ideology. Yeah. There's complex ethical
[02:04:32.240 --> 02:04:38.400]   discussions here about, uh, uh, uh, just like, as you described, which are fascinating, which are
[02:04:38.400 --> 02:04:48.640]   fascinating and, uh, war is hell. And there's many ways in which it is hell. Uh, just for a little bit,
[02:04:48.640 --> 02:04:55.360]   the steel man, what, uh, Daryl is where he might be coming from is since world war II,
[02:04:56.720 --> 02:05:07.040]   the simplistic veneration of Churchill. So saying Churchill, good Hitler, bad has been used as a
[02:05:07.040 --> 02:05:16.720]   template to project under other conflicts to justify military, uh, intervention. And so his general,
[02:05:16.720 --> 02:05:24.720]   his and other people like libertarians, for example, resistance to that overly simplistic veneration of
[02:05:24.720 --> 02:05:31.360]   somebody like Churchill has to do with the fact that that seems to be by neocons and warmongers
[02:05:31.360 --> 02:05:37.760]   in the military industrial complex in the United States and elsewhere using Hitler way too much using
[02:05:37.760 --> 02:05:45.040]   Churchill way too much to justify invading everywhere and anywhere. Well, I do agree with that. I think
[02:05:45.040 --> 02:05:52.640]   oversimplification of anything is a mistake. You know, life is nuanced. The past is nuanced. It's okay to be
[02:05:52.640 --> 02:05:56.400]   proud about certain things and it's okay to be disgusted by other things. That's absolutely fine.
[02:05:56.400 --> 02:06:00.480]   You know, we have a complicated relationship with our past. It doesn't need to be black and white.
[02:06:00.480 --> 02:06:05.040]   And, um, you know, life is not a straight line. And of course there's the, you know,
[02:06:05.040 --> 02:06:10.240]   the allies make plenty of mistakes in, in, in world war II. Overall, I think they made the right calls.
[02:06:10.240 --> 02:06:14.880]   And I think one of the things that's really interesting is I think that the allies for the most part
[02:06:15.840 --> 02:06:26.240]   use their resources much more judiciously and sensibly than the axis powers do and, you know, good, um,
[02:06:26.240 --> 02:06:31.280]   because that means they prevail. I think, you know, there are so many lessons, um, from
[02:06:31.280 --> 02:06:36.480]   world war II that could have been brought into the last history of the last 30 years, which weren't,
[02:06:37.040 --> 02:06:43.760]   you know, such as, you know, if you have, if you, if you decapitate an incredibly strong leader,
[02:06:43.760 --> 02:06:47.280]   you get a power vacuum. And if you don't have a solution for that power vacuum,
[02:06:47.280 --> 02:06:50.720]   lots of bad elements are going to sweep into that in very quick order, which of course is exactly what
[02:06:50.720 --> 02:06:56.640]   happens in, in, in Iraq. So, you know, don't run. So I'm going, we don't do reconstruction where you
[02:06:57.200 --> 02:07:02.000]   freaking well should do, you know, this, this, if you're going to, if you're going to take on this,
[02:07:02.000 --> 02:07:06.400]   this particular challenge, you've got to see it through, you know, that's, that's simply not good
[02:07:06.400 --> 02:07:10.240]   enough. You know, it's not good enough to go into Afghanistan and go, okay, we're going to change
[02:07:10.240 --> 02:07:13.840]   things around. It's going to be great. You know, all the women are going to have education. They won't
[02:07:13.840 --> 02:07:21.520]   have to wear kind of, you know, uh, um, won't have to cover up their bodies anymore. Um, anything goes,
[02:07:21.520 --> 02:07:27.040]   we love liberalism. It's great. Um, let's make Kabul into a thriving city once more and then suddenly bug out.
[02:07:27.760 --> 02:07:31.600]   you know, cause what, what, what's going to happen? You're going to undo everything.
[02:07:31.600 --> 02:07:36.160]   And, uh, and I remember being in, you know, this is a bit of a segue legs, but I remember being in,
[02:07:36.160 --> 02:07:42.720]   in Northern Helmand province back in, you know, when it was January, 2008 and, uh, British troops had
[02:07:42.720 --> 02:07:50.080]   just taken over an absolute dump of a town called, um, Musakala. And I remember talking to this Afghan
[02:07:50.080 --> 02:07:55.120]   guy. He just had all his willow trees chopped down to make room for a helipad that the allies wanted,
[02:07:55.120 --> 02:08:01.200]   which said, you know, put that kind of surround, you know, those cages with kind of rubble in the
[02:08:01.200 --> 02:08:06.160]   protective wall. It's called Hescombe. I think it was called. Anyway, I said to him, what do you,
[02:08:06.160 --> 02:08:09.680]   what do you think about, about the British being there? And he just went, he shrugged at me and
[02:08:09.680 --> 02:08:16.320]   lifted up his hands and said, well, you know, if they stay great, but they won't. And, and he said,
[02:08:16.320 --> 02:08:20.000]   said, you know, if they stay, then brilliant. But he said, I'll tell you what, he said,
[02:08:23.840 --> 02:08:27.120]   leave my purse on a wall and no one would touch it. I could leave it on a wall for a week. No one
[02:08:27.120 --> 02:08:32.480]   would touch it. He said, said, will they bring that kind of order? You know, will, will we have,
[02:08:32.480 --> 02:08:37.520]   will we have peace here? You know, they've just chopped down my, my willow trees. You know,
[02:08:37.520 --> 02:08:46.640]   thanks a lot. And you, you know, you, you, you're seeing a total lack of understanding of the culture,
[02:08:48.640 --> 02:08:54.480]   ethnic differences. You're trying to impose a kind of Western centric view onto something,
[02:08:54.480 --> 02:08:58.560]   which is just some, you know, onto, onto, onto a, onto a nation, which isn't, isn't ready for that.
[02:08:58.560 --> 02:09:04.640]   Now, there are ways in which, you know, it looked like Afghanistan was starting to kind of emerge and
[02:09:04.640 --> 02:09:11.440]   there was a path. And then just at the critical moment, the West moves out with catastrophic
[02:09:11.440 --> 02:09:21.200]   consequences. What you have to say though, is that in the West post 1945, the rehabilitation of Italy,
[02:09:21.200 --> 02:09:28.240]   of Japan, of Western Germany was really good. You know, the consequence of, of all that destruction,
