
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[01:00:55.340 --> 01:00:56.780]   the aesthetics of the day.
[01:00:57.860 --> 01:00:59.980]   And you say, okay, how do I move closer to there?
[01:00:59.980 --> 01:01:02.900]   This gives you a much better way of assessing your job,
[01:01:02.900 --> 01:01:03.740]   right?
[01:01:03.740 --> 01:01:05.020]   And it might be when you do this,
[01:01:05.020 --> 01:01:06.740]   you say, what I'm really looking for,
[01:01:06.740 --> 01:01:08.080]   like what I want my life to feel like,
[01:01:08.080 --> 01:01:09.980]   this job is in the way of all of that, right?
[01:01:09.980 --> 01:01:11.260]   It's a completely different rhythm.
[01:01:11.260 --> 01:01:12.740]   It keeps me stuck in this location.
[01:01:12.740 --> 01:01:14.660]   It prevents me from all these other things
[01:01:14.660 --> 01:01:15.500]   that are part of this vision.
[01:01:15.500 --> 01:01:17.580]   I just don't have the time or energy to get there.
[01:01:17.580 --> 01:01:20.200]   Now you have a strategic way to change that.
[01:01:20.200 --> 01:01:22.460]   And it might be changing my job in such a way
[01:01:22.460 --> 01:01:24.580]   to find one that maximizes my access
[01:01:24.580 --> 01:01:25.700]   to these things I care about.
[01:01:25.780 --> 01:01:27.620]   And it might mean switching to a job
[01:01:27.620 --> 01:01:29.940]   maybe within the same company that is less prestigious,
[01:01:29.940 --> 01:01:33.080]   maybe it's less money, way more solo and autonomous.
[01:01:33.080 --> 01:01:35.940]   But that might unlock everything.
[01:01:35.940 --> 01:01:36.780]   Well, I can do that remotely.
[01:01:36.780 --> 01:01:37.600]   We can move here.
[01:01:37.600 --> 01:01:39.300]   This fits much more controllable.
[01:01:39.300 --> 01:01:41.580]   So this might be a good time in your life
[01:01:41.580 --> 01:01:44.560]   for some very careful lifestyle centric planning.
[01:01:44.560 --> 01:01:46.460]   If you can wait a couple of years,
[01:01:46.460 --> 01:01:47.740]   I have a book coming out about this.
[01:01:47.740 --> 01:01:49.580]   But in the meantime,
[01:01:49.580 --> 01:01:52.380]   you can go back and listen to our podcast about it.
[01:01:52.380 --> 01:01:54.460]   This is a perfect case where you might find like,
[01:01:54.460 --> 01:01:55.900]   this job I took because it was
[01:01:55.900 --> 01:01:57.380]   what the prestigious thing to do was.
[01:01:57.380 --> 01:01:59.400]   It's hard and I got it and I'm proud.
[01:01:59.400 --> 01:02:03.380]   But it also makes everything else I care about difficult.
[01:02:03.380 --> 01:02:04.540]   So lifestyle centric planning
[01:02:04.540 --> 01:02:06.160]   might be the hard answer to this question,
[01:02:06.160 --> 01:02:08.360]   but one worth paying some hard attention to.
[01:02:08.360 --> 01:02:11.500]   All right, who do we got next?
[01:02:11.500 --> 01:02:13.300]   - Next question is from Jim.
[01:02:13.300 --> 01:02:15.740]   I'm 27 and a management consultant
[01:02:15.740 --> 01:02:18.620]   and also pursuing my master's.
[01:02:18.620 --> 01:02:19.980]   I use the time block planner,
[01:02:19.980 --> 01:02:22.340]   but struggle to enter deep work mode.
[01:02:22.340 --> 01:02:26.020]   Each day I break my to-do list down into task size chunks
[01:02:26.020 --> 01:02:28.980]   and then allocate these tasks to time blocks on my planner.
[01:02:28.980 --> 01:02:32.100]   Herein lies a problem, actually doing the deep work.
[01:02:32.100 --> 01:02:34.460]   I feel like I have the correct systems in place,
[01:02:34.460 --> 01:02:37.400]   but still struggle with focus and procrastination.
[01:02:37.400 --> 01:02:40.900]   - Okay, so first of all,
[01:02:40.900 --> 01:02:42.080]   there's a little bit of concern here
[01:02:42.080 --> 01:02:44.020]   because there's some terminology creep.
[01:02:44.020 --> 01:02:48.980]   You talk about deep work mode,
[01:02:48.980 --> 01:02:52.740]   but now what you're talking about you struggling to do
[01:02:52.740 --> 01:02:57.540]   is tasks from your to-do list, right?
[01:02:57.540 --> 01:02:58.620]   So I think you're just like,
[01:02:58.620 --> 01:03:01.060]   you might be vaguely using the term deep work
[01:03:01.060 --> 01:03:04.860]   just to mean like doing stuff or being productive.
[01:03:04.860 --> 01:03:06.100]   Deep work has a very clear meaning.
[01:03:06.100 --> 01:03:07.740]   It's a particular cognitive state
[01:03:07.740 --> 01:03:09.060]   in which you're giving full attention
[01:03:09.060 --> 01:03:11.380]   without context shifts to a cognitively demanding task.
[01:03:11.380 --> 01:03:14.740]   It's a state that is optimal for producing high-end output
[01:03:14.740 --> 01:03:17.220]   at a reasonable amount of time for demanding tasks.
[01:03:17.220 --> 01:03:18.940]   It's a cognitive state.
[01:03:18.940 --> 01:03:20.220]   You're talking about more, I think,
[01:03:20.220 --> 01:03:22.740]   just you have a lot on your plate.
[01:03:22.740 --> 01:03:23.980]   Your motivation is low.
[01:03:23.980 --> 01:03:25.500]   You're having a hard time actually executing
[01:03:25.500 --> 01:03:26.340]   what's on your plan.
[01:03:26.340 --> 01:03:28.940]   Whether it's a deep work block or a shallow block
[01:03:28.940 --> 01:03:31.660]   that's full of what you call task size chunks
[01:03:31.660 --> 01:03:32.540]   from your to-do list.
[01:03:32.540 --> 01:03:36.280]   So I'm gonna put that deep work terminology off to the side.
[01:03:36.280 --> 01:03:38.940]   What we have here is more of just like a time block
[01:03:38.940 --> 01:03:40.600]   planning execution issue.
[01:03:40.600 --> 01:03:46.340]   So why do people struggle
[01:03:46.340 --> 01:03:47.940]   to execute whatever it is they have planned?
[01:03:47.940 --> 01:03:50.900]   There's a couple of things that could be at play here.
[01:03:50.900 --> 01:03:54.580]   One, they don't buy the plan, right?
[01:03:54.580 --> 01:03:55.600]   Like they made the plan,
[01:03:55.600 --> 01:03:56.740]   but another part of their mind is like,
[01:03:56.740 --> 01:03:58.700]   what are we doing here?
[01:03:58.700 --> 01:04:00.060]   This is work for the sake of work.
[01:04:00.060 --> 01:04:03.820]   Like our mind is very good at predicting the future,
[01:04:03.820 --> 01:04:05.200]   evaluating the future,
[01:04:05.200 --> 01:04:08.260]   trying to figure out if the action in the moment
[01:04:08.260 --> 01:04:10.640]   is moving you towards something that is worthwhile.
[01:04:10.640 --> 01:04:12.680]   We did a podcast about this a couple of episodes ago
[01:04:12.680 --> 01:04:14.300]   where I talked about how the planning systems
[01:04:14.300 --> 01:04:16.940]   of the brain work and its connection to discipline.
[01:04:16.940 --> 01:04:19.860]   So that's probably an important episode to listen to.
[01:04:19.860 --> 01:04:20.700]   So for example,
[01:04:20.700 --> 01:04:23.340]   if you're just throwing a lot of work on your schedule
[01:04:23.340 --> 01:04:24.940]   and your mind's like, why are we doing this?
[01:04:24.940 --> 01:04:27.100]   Like this doesn't feel like it's really gonna prepare us
[01:04:27.100 --> 01:04:29.580]   for these tests or even like,
[01:04:29.580 --> 01:04:31.540]   why are we doing this master's degree in general?
[01:04:31.540 --> 01:04:32.940]   It's gonna withhold motivation.
[01:04:32.940 --> 01:04:34.580]   So you're gonna find motivation issues come
[01:04:34.580 --> 01:04:36.020]   when your mind is not on board
[01:04:36.020 --> 01:04:37.820]   with either the goal you're pursuing
[01:04:37.820 --> 01:04:41.120]   or the process with which you're pursuing that goal.
[01:04:41.120 --> 01:04:45.180]   So it can help often to get much more specific about,
[01:04:45.180 --> 01:04:47.860]   okay, for my master's program,
[01:04:47.860 --> 01:04:50.360]   let me really get detailed about like the best way to study
[01:04:50.360 --> 01:04:52.900]   and to organize work and make sure that like,
[01:04:52.900 --> 01:04:56.460]   I really trust my systems and my mind's on board with it.
[01:04:56.460 --> 01:04:58.860]   So that's one thing that can happen.
[01:04:58.860 --> 01:05:01.420]   Another thing that can happen is just a,
[01:05:01.420 --> 01:05:02.980]   what I call deep procrastination.
[01:05:02.980 --> 01:05:04.420]   I used to call that in my old
[01:05:04.420 --> 01:05:07.580]   student focused newsletter post.
[01:05:07.580 --> 01:05:09.340]   It could be that your mind is just calling uncle
[01:05:09.340 --> 01:05:10.500]   on the plan in general.
[01:05:11.500 --> 01:05:13.620]   So if what you're doing is hard
[01:05:13.620 --> 01:05:18.980]   and your mind doesn't feel on board with it,
[01:05:18.980 --> 01:05:20.500]   which typically is like an intrinsic,
[01:05:20.500 --> 01:05:22.100]   extrinsic motivation situation,
[01:05:22.100 --> 01:05:24.220]   the locus of control is cited externally from you.
[01:05:24.220 --> 01:05:25.060]   It's like, I don't know,
[01:05:25.060 --> 01:05:26.580]   my parents wanted me to do this,
[01:05:26.580 --> 01:05:28.580]   or it just seemed like I would be
[01:05:28.580 --> 01:05:29.980]   an impressive thing to work on,
[01:05:29.980 --> 01:05:32.180]   but it's not really on board with the goal.
[01:05:32.180 --> 01:05:34.780]   That mismatch can create what's called deep procrastination
[01:05:34.780 --> 01:05:36.980]   where like you really have a hard time executing work,
[01:05:36.980 --> 01:05:38.660]   even if you know like I'm committed to this work
[01:05:38.660 --> 01:05:39.660]   and I need to do it.
[01:05:40.820 --> 01:05:42.380]   So deep procrastination requires
[01:05:42.380 --> 01:05:44.780]   more of a thorough investigation of like,
[01:05:44.780 --> 01:05:46.900]   why are you doing what you're doing?
[01:05:46.900 --> 01:05:49.340]   And when I hear something like I'm a master student
[01:05:49.340 --> 01:05:51.780]   at the same time that I'm a management consultant,
[01:05:51.780 --> 01:05:52.980]   and I hear I'm having a hard time
[01:05:52.980 --> 01:05:54.420]   actually executing my work,
[01:05:54.420 --> 01:05:56.980]   it might be because this really hard thing
[01:05:56.980 --> 01:05:57.820]   you're trying to do,
[01:05:57.820 --> 01:05:59.100]   which is two jobs at the same time,
[01:05:59.100 --> 01:06:01.500]   might not be as well planned out as you thought,
[01:06:01.500 --> 01:06:03.740]   and your brain is figuring this out.
[01:06:03.740 --> 01:06:04.580]   And then it's like,
[01:06:04.580 --> 01:06:07.260]   why are we doing this like online master's degree?
[01:06:07.260 --> 01:06:08.100]   I don't know,
[01:06:08.100 --> 01:06:10.380]   it just felt vaguely like something interesting to do.
[01:06:10.380 --> 01:06:11.580]   Like your mind is beginning
[01:06:11.580 --> 01:06:14.020]   to see the weaknesses in the plan.
[01:06:14.020 --> 01:06:15.260]   And that might require a change
[01:06:15.260 --> 01:06:17.300]   to what it is you're actually trying to do.
[01:06:17.300 --> 01:06:19.860]   All right, so those two things I want you to keep in mind,
[01:06:19.860 --> 01:06:22.300]   your goals or plan aren't well-developed,
[01:06:22.300 --> 01:06:23.980]   or your mind's not on board
[01:06:23.980 --> 01:06:25.540]   with what it is you're trying to do.
[01:06:25.540 --> 01:06:26.380]   It's this hard thing,
[01:06:26.380 --> 01:06:27.980]   it's just not really worth it.
[01:06:27.980 --> 01:06:30.300]   In terms of tactical solutions,
[01:06:30.300 --> 01:06:32.100]   make sure you're consolidating shallow task
[01:06:32.100 --> 01:06:33.740]   in the shallow blocks.
[01:06:33.740 --> 01:06:36.420]   Make sure that your most cognitive demanding
[01:06:36.420 --> 01:06:38.060]   deep work blocks are earlier in the day
[01:06:38.060 --> 01:06:39.580]   when your energy is higher.
[01:06:39.580 --> 01:06:42.500]   I would also recommend designating each day
[01:06:42.500 --> 01:06:46.540]   to be either a primary consultant or primary student day.
[01:06:46.540 --> 01:06:48.700]   So if it's a primary consultant day,
[01:06:48.700 --> 01:06:51.980]   you're doing barely any work on your student work.
[01:06:51.980 --> 01:06:53.460]   If it's a primary student day,
[01:06:53.460 --> 01:06:56.540]   you're doing bare minimum work for the consultant job,
[01:06:56.540 --> 01:06:59.260]   and most of your time is going to the student work.
[01:06:59.260 --> 01:07:02.580]   So maybe you have two primary student days per week,
[01:07:02.580 --> 01:07:04.900]   as well as like a big Sunday block on that as well.
[01:07:04.900 --> 01:07:06.660]   And the other days are primary consultant week.
[01:07:06.660 --> 01:07:10.660]   So you're not trying to really thoroughly mix
[01:07:10.660 --> 01:07:13.300]   two completely different activities throughout your day,
[01:07:13.300 --> 01:07:14.140]   going back and forth.
[01:07:14.140 --> 01:07:15.140]   That's too much context shifting.
[01:07:15.140 --> 01:07:16.180]   So that might help as well.
[01:07:16.180 --> 01:07:18.220]   Right, so there's a lot of different things going on here
[01:07:18.220 --> 01:07:20.180]   from your like fundamental sense of motivation
[01:07:20.180 --> 01:07:22.820]   to just tactically how you're organizing the work.
[01:07:22.820 --> 01:07:25.260]   So hopefully some combination of those will help.
[01:07:25.260 --> 01:07:28.500]   All right, what do we have next, Jesse?
[01:07:28.500 --> 01:07:30.820]   - We have our slow productivity corner.
[01:07:30.820 --> 01:07:31.660]   - Oh, that's exciting.
[01:07:31.660 --> 01:07:33.900]   So as longtime listeners know,
[01:07:33.900 --> 01:07:35.460]   each week we try to have one question
[01:07:35.460 --> 01:07:37.220]   that deals with the topics from my new book,
[01:07:37.220 --> 01:07:39.460]   "Slow Productivity, The Lost Art of Accomplishment
[01:07:39.460 --> 01:07:41.060]   "Without Burnout."
[01:07:41.060 --> 01:07:42.980]   If you like what you hear on the show,
[01:07:42.980 --> 01:07:44.060]   you need to read that book.
[01:07:44.060 --> 01:07:45.820]   It's sort of like a Bible of sorts
[01:07:45.820 --> 01:07:47.300]   for a lot of our concepts.
[01:07:47.300 --> 01:07:48.940]   So definitely check that out.
[01:07:48.940 --> 01:07:49.780]   All right, so we've got
[01:07:49.780 --> 01:07:50.820]   our slow productivity corner of the day.
[01:07:50.820 --> 01:07:53.540]   Jesse, let's get that slow productivity corner theme music.
[01:07:53.540 --> 01:07:56.540]   (soft guitar music)
[01:07:56.540 --> 01:08:01.220]   Now we're ready.
[01:08:01.220 --> 01:08:02.580]   All right, what do we got?
