
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[02:03:10.560 --> 02:03:14.580]   The president represents a different politics than Joe Biden's politics.
[02:03:14.580 --> 02:03:24.760]   And so if you have a state filled with liberal civil servants who don't want to do what he says, that is a violation of small d democratic principles of how the government should be run.
[02:03:25.320 --> 02:03:27.320]   I think if you don't like it, that's fine.
[02:03:27.320 --> 02:03:30.460]   But I do want to say, like, I actually think that is that is the steel man.
[02:03:30.460 --> 02:03:32.540]   He's not they're not doing this for no reason.
[02:03:32.540 --> 02:03:33.860]   They have an intention here.
[02:03:33.860 --> 02:03:39.760]   And I think, you know, the whether you like it or not sort of depends on whether or not you like their view.
[02:03:39.760 --> 02:03:52.000]   OK, well, I don't like it because it cuts my ear in a certain way that one of the criticisms I have for Donald Trump and and the Trump administration is there's a natural circles of sycophancy that forms.
[02:03:52.000 --> 02:03:56.080]   And, you know, every president has their personality and psychological quirks.
[02:03:56.080 --> 02:04:01.960]   And I think he is one of the people where favoritism is more likely to develop.
[02:04:01.960 --> 02:04:05.560]   So when you choose who to install as the head of whatever organization.
[02:04:05.560 --> 02:04:20.700]   So if you fire everybody and rehire, the rehiring process is more likely to have people that just said nice things about Donald Trump in the past versus a meritocracy based system that these people are really good.
[02:04:20.700 --> 02:04:22.660]   Lex, AOC should definitely come on the show.
[02:04:22.660 --> 02:04:24.360]   Well, she has her own.
[02:04:24.360 --> 02:04:40.900]   But the ideal, the steel man to me about not maybe what Elon is doing is in order to have the best people in the world doing a great job at every part of government.
[02:04:41.100 --> 02:04:46.120]   You have to figure out, I mean, his first email of like, what have you done this week?
[02:04:46.120 --> 02:04:58.120]   There's the if we just steel man, everything he's been doing, which is like, let's find the productive people that show up to work that love what they're doing, that are actually sort of amazing at what they're doing.
[02:04:58.280 --> 02:05:01.400]   I mean, how would you solve that problem from his experience in business?
[02:05:01.400 --> 02:05:09.840]   It's painful, but effective to just fire almost everybody and then rebuild from there and continuously do that.
[02:05:09.840 --> 02:05:17.860]   And as a result, as long as everybody's aligned in a mission is you're simplifying over and over the system.
[02:05:17.860 --> 02:05:34.540]   So it's more and more and more effective now, like how would you, how else would you approach, um, we could start now criticizing how, how would you make government more efficient if not by the way that they're doing it?
[02:05:34.540 --> 02:05:34.660]   Yeah.
[02:05:34.660 --> 02:05:36.080]   Can I steal men to the other side now?
[02:05:36.080 --> 02:05:36.280]   Sure.
[02:05:36.280 --> 02:05:37.880]   Um, okay.
[02:05:37.880 --> 02:05:38.000]   Okay.
[02:05:38.000 --> 02:05:41.240]   You wouldn't do this.
[02:05:41.240 --> 02:05:43.200]   You wouldn't do this.
[02:05:43.200 --> 02:05:44.380]   So let me say a couple of things.
[02:05:44.380 --> 02:05:50.800]   One is that efficiency only makes sense when yoked to a goal.
[02:05:50.800 --> 02:05:56.400]   So when, if Elon Musk came in and did this at Tesla, Musk had a goal for Tesla.
[02:05:56.400 --> 02:05:59.780]   It was to build the electric vehicle of the future.
[02:05:59.780 --> 02:06:02.100]   SpaceX, he had a goal for SpaceX.
[02:06:02.100 --> 02:06:07.180]   We know what the goal for SpaceX is in some long-term way, go to Mars, but in some short-term way, you know,
[02:06:07.320 --> 02:06:13.700]   cheaper orbital travel, you know, cheaper orbital shipping, reusable rockets, et cetera.
[02:06:13.700 --> 02:06:17.100]   We know what the goal for SolarCity was in a way.
[02:06:17.100 --> 02:06:22.120]   And I do think sort of the purchase of Twitter is late Elon, which becomes a much more political set of goals.
[02:06:22.120 --> 02:06:26.360]   But, but nevertheless, um, in a way, at least there's an expressed idea at Twitter, right?
[02:06:26.360 --> 02:06:28.000]   Which is the, the return of free expression.
[02:06:28.000 --> 02:06:38.020]   I think it's really important if you are steel manning or any kind of manning is, is being, is really asking and like listening to what people are saying their goal is.
[02:06:38.020 --> 02:06:40.980]   Because efficiency does not exist in a vacuum, right?
[02:06:41.040 --> 02:06:46.860]   The, uh, a state that is efficient at building dirty energy in a state that are, is efficient at burning clean energy.
[02:06:46.860 --> 02:06:49.720]   They're, they're sort of, they can be opposite versions of each other, right?
[02:06:49.720 --> 02:06:52.300]   You have to be, you have to be optimizing towards something.
[02:06:52.300 --> 02:06:53.060]   You're an AI guy.
[02:06:53.060 --> 02:06:54.640]   You have to optimize towards something.
[02:06:55.420 --> 02:07:05.260]   And the goal, I, I, I find myself really consistently frustrated by conversations about Doge that treat efficiency as some free floating thing.
[02:07:05.260 --> 02:07:13.720]   Or I sometimes will hear people say to me, very smart people have said to me, oh, what Doge is really doing is stripping the government down to studs so it can put AI into it.
[02:07:13.720 --> 02:07:17.960]   Because Elon believes in AGI is coming soon and you need to make a government capable of using AGI.
[02:07:18.220 --> 02:07:25.320]   And I always say to them, okay, AI towards what, towards what value function, towards what prompt are you inserting at the, at the base level?
[02:07:25.320 --> 02:07:26.280]   Sorry about that.
[02:07:26.280 --> 02:07:30.380]   Um, and I think a few things become very clear.
[02:07:30.380 --> 02:07:33.060]   One is it, it is towards Donald Trump.
[02:07:33.060 --> 02:07:34.040]   It is his movement.
[02:07:34.040 --> 02:07:35.800]   Elon Musk serves at his pleasure.
[02:07:35.800 --> 02:07:41.380]   Elon Musk has said that he would like to himself chisel Donald Trump's face into Mount Rushmore.
[02:07:41.380 --> 02:07:45.640]   He said he loves Donald Trump as much as a man can love any other man.
[02:07:46.320 --> 02:07:48.260]   He believes in Trump, right?
[02:07:48.260 --> 02:07:49.620]   I think you have to take him at his word.
[02:07:49.620 --> 02:07:53.840]   Or maybe you think he's very cynical and he's saying all that to curry favor in a sycophantic way with Trump.
[02:07:53.840 --> 02:07:57.400]   But at some point, Elon Musk does not serve with any kind of independence.
[02:07:57.400 --> 02:07:59.440]   If Trump says your power is gone, his power is gone.
[02:07:59.440 --> 02:08:01.700]   He's an outside, he's functionally an outside advisor to the government.
[02:08:01.700 --> 02:08:06.780]   So then you, you really do, I think, have to listen to what Donald Trump has said, what Russ Vought has said.
[02:08:06.780 --> 02:08:09.460]   And they believe that Trump represents something fundamental.
[02:08:09.460 --> 02:08:12.680]   His movement represents something fundamental that has been suppressed in American life.
[02:08:12.680 --> 02:08:18.380]   I think if you were doing something, the best cases I've seen for Elon are a zero-based budgeting case.
[02:08:18.380 --> 02:08:23.080]   You're trying to break everything down to studs and then it needs to re-justify.
[02:08:23.080 --> 02:08:29.660]   So if he did this at Twitter, the engineers had to come in and justify to his people what they were actually doing.
[02:08:29.660 --> 02:08:31.500]   But that wasn't how those emails worked.
[02:08:31.500 --> 02:08:32.720]   We all know this, right?
[02:08:32.720 --> 02:08:43.480]   He doesn't have a staff capable of seriously working through and then following up on emails from two-some million government employees about what they did that week.
[02:08:43.480 --> 02:08:45.960]   And then really checking, well, did they do it well?
[02:08:45.960 --> 02:08:47.760]   Like, was the thing accomplished, right?
[02:08:47.760 --> 02:08:49.040]   Like, that's not how you do that.
[02:08:49.040 --> 02:08:50.960]   Like, what, he's got 50 people at Doge?
[02:08:50.960 --> 02:08:51.300]   Nothing.
[02:08:53.060 --> 02:08:56.620]   If you wanted to do zero-based budgeting, it has to be against the criteria.
[02:08:56.620 --> 02:08:58.400]   So coming in and gutting USAID.
[02:08:58.400 --> 02:09:02.600]   Some of the things USAID does are just extraordinary, right?
[02:09:02.600 --> 02:09:03.160]   PEPFAR.
[02:09:03.160 --> 02:09:06.500]   Nobody anywhere thought PEPFAR was not an efficient program.
[02:09:06.500 --> 02:09:13.420]   PEPFAR is maybe the highest value thing that we have ever done in the U.S. government to save human life through foreign aid.
[02:09:14.000 --> 02:09:16.800]   I mean, just bluntly, it's a George W. Bush program.
[02:09:16.800 --> 02:09:19.260]   It saved a generation of people from dying of HIV-AIDS.
[02:09:19.260 --> 02:09:23.700]   They just turned it off, and they didn't have somebody come in and justify the PEPFAR funding.
[02:09:23.700 --> 02:09:30.600]   They just turned it off as they turned all these different things off and have never given people a serious effort to come back in and say, this is what we do.
[02:09:30.600 --> 02:09:32.960]   They just fired half of the people at DOE.
[02:09:32.960 --> 02:09:41.060]   DOE is, if you look at it, DOE has the lowest staffing level of any agency, but the fourth highest appropriation.
[02:09:41.520 --> 02:09:45.620]   And it administers the more than $1 trillion higher ed.
[02:09:45.620 --> 02:09:50.940]   It is, in overhead terms, one of the leanest of all the agencies, alongside Social Security Agency.
[02:09:50.940 --> 02:09:55.800]   They didn't tell those people, like, what they wanted out of a DOE of half the size.
