
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[05:28:50.280 --> 05:28:55.400]   yes, you would have peaceful protests, but then the bin Ladenites would be there and would snipe cops,
[05:28:56.600 --> 05:29:02.280]   of course, for the direct purpose of provoking a reaction. It's exactly how they started the Kosovo
[05:29:02.280 --> 05:29:08.440]   war. They'd assassinate police officers, forcing the military to intervene, to radicalize and increase
[05:29:08.440 --> 05:29:13.080]   the whole situation. It was the same thing that they were doing there, and it's how they got the whole
[05:29:13.080 --> 05:29:17.880]   thing started. And again, it's literally al-Qaeda in Iraq that's taking the lead at that time.
[05:29:17.880 --> 05:29:28.200]   Now, remember hours ago when we talked about truth, falsity, and our position? Well, our position was,
[05:29:28.200 --> 05:29:33.880]   we're supporting moderate rebels. We're not supporting bin Ladenites. And in fact,
[05:29:33.880 --> 05:29:40.840]   the bin Ladenites, if they're not backed by Assad just to make the protesters look bad,
[05:29:41.800 --> 05:29:47.160]   then at least they're only benefiting because we just won't give enough support to the moderates.
[05:29:47.160 --> 05:29:55.720]   That was our position, but that was not true. From the very beginning, it was clear. These guys are
[05:29:55.720 --> 05:30:04.760]   lunatics, man. There was a boy in 2000, early 13, a boy had a, uh, fruit stand and one of the bin Ladenites
[05:30:05.480 --> 05:30:12.920]   or just some guy said, Hey, give me a discount on this orange. And the kid said, 13 year old boy,
[05:30:12.920 --> 05:30:22.200]   I believe. He said, I'm sorry. I can't give discounts. I wouldn't even give a discount to
[05:30:22.200 --> 05:30:28.760]   Muhammad himself. And bin Ladenites standing within earshot said, what did you just say? Boom. And shot
[05:30:28.760 --> 05:30:33.080]   the 13 year old boy right in the face to death. That's one of the moderate rebels. That's the moderate
[05:30:33.080 --> 05:30:37.480]   rebels. And, and what were the moderate rebels all the time? The ones who were quote unquote,
[05:30:37.480 --> 05:30:42.120]   moderate, the free Syrian army, the guys with shorter beards who would come and talk to the
[05:30:42.120 --> 05:30:48.840]   Americans who would, who they're famous pictures of them in tents that say USAID on them. And their job
[05:30:48.840 --> 05:30:53.960]   was just receiving the money and the guns and delivering to the bin Ladenites, just like with
[05:30:53.960 --> 05:31:00.520]   the war in Afghanistan in the eighties or something, you know, Bandar can empty his jails and whatever.
[05:31:00.520 --> 05:31:05.480]   But for the most part, like these guys are volunteers. There's not a organized state army
[05:31:05.480 --> 05:31:10.360]   on the ground. That's like conscripted them and controls them to that degree. So who's out there
[05:31:10.360 --> 05:31:15.640]   fighting? The guys who are fighting are the ones who don't mind dying. The ones who are absolutely the
[05:31:15.640 --> 05:31:22.360]   most committed to this revolution. And we know who they are. They're bin Laden and Zawahiri and Zarkawi's
[05:31:22.360 --> 05:31:31.800]   guys. Al-Qaeda in Iraq, in Syria, going at that time by the name Jabhat al-Nusra, which I'm told roughly
[05:31:31.800 --> 05:31:39.720]   translates from association of assistance or helpers. And then their Al-Qaeda in Iraq, in Syria, the same
[05:31:39.720 --> 05:31:44.600]   guys that were the vanguard of the Sunni insurgency in Iraq, war two are now the vanguard of the Sunni
[05:31:44.600 --> 05:31:50.040]   insurgency in Syria. And while there's just one line on a map between them, we're still on the
[05:31:50.040 --> 05:31:55.800]   side of the Shiites in Iraq, but we're on the side of the Sunnis in Syria. Now, this goes on for two
[05:31:55.800 --> 05:32:00.840]   years. And you have bin Ladenites from all over the place, including Chechens and Chinese Uyghurs and
[05:32:00.840 --> 05:32:07.240]   people from all over everywhere coming to join the jihad, just like in Iraq war two Egyptians and
[05:32:07.240 --> 05:32:17.080]   Libyans and whoever come to join the thing. And by, um, the late spring, early summer of 2013,
[05:32:17.080 --> 05:32:24.600]   you now have a split between Baghdadi, who's now also come to Syria. Sorry, from your point of view this
[05:32:24.600 --> 05:32:31.800]   way in Syria. And now Baghdadi and Jolani, the leaders of Al-Qaeda in Iraq and Syria split.
[05:32:31.800 --> 05:32:39.560]   And it's a fight over control and over really over oil wealth and who controls the, their gangster
[05:32:39.560 --> 05:32:46.760]   spoils or a bunch of terrorists, but also over doctrine too. Baghdadi is more like a Zarqawiite
[05:32:46.760 --> 05:32:53.800]   and Baghdadi is saying, I want my caliphate now against the advice of Ayman al-Zawahiri,
[05:32:53.800 --> 05:32:59.800]   who is now the surviving leader of Al-Qaeda in Iraq after bin Laden was killed in May of 2011.
[05:32:59.800 --> 05:33:05.320]   Zawahiri is the one who said, no, we should fight the far enemy. Don't create a state now
[05:33:05.320 --> 05:33:10.360]   because you won't be able to hold onto it. Just keep fighting. And he sent an emissary,
[05:33:10.360 --> 05:33:17.960]   who had been an original veteran of the Afghan war named al-Suri to come and negotiate between
[05:33:17.960 --> 05:33:23.640]   Baghdadi and Jolani. Baghdadi killed the guy and declared a state in East
[05:33:23.640 --> 05:33:31.480]   Eastern Syria. Now at this time, Assad has to pull his forces back from the East and consolidate.
[05:33:31.480 --> 05:33:36.200]   All the population centers, other than Raqqa, all the other big population centers are in the West of
[05:33:36.200 --> 05:33:43.240]   the country. Hama, Homs, Aleppo, and Damascus. He has to try to protect these areas. And so he ends up
[05:33:43.240 --> 05:33:51.880]   being forced to leave Eastern Syria basically wide open. So by June of 2013, Baghdadi splits from Jolani
[05:33:52.600 --> 05:34:01.800]   and creates ISIS, the Islamic State of Iraq and Syria, or Iraq and the Levant, or whatever they called it. In
[05:34:01.800 --> 05:34:15.160]   Arabic, the acronym is pronounced Daesh, D-A-E-S-H, E-S-H. When we say ISIS, ISIL, the Islamic State, the Caliphate, or
[05:34:15.160 --> 05:34:22.440]   Daesh, that's all the same thing. That's Al-Qaeda in Iraq, went to Syria, consolidated Eastern Syria.
[05:34:22.440 --> 05:34:30.360]   Now, that's in June of 2013. Six months later, they hoist the black flag over Fallujah.
[05:34:32.120 --> 05:34:37.480]   And at antiwar.com, we're freaking out. And I've been saying on my show this whole time,
[05:34:37.480 --> 05:34:45.240]   Western Iraq is wide open. Patrick Coburn says Western Iraq is wide open. Red alert, man. This
[05:34:45.240 --> 05:34:50.360]   is a problem here. We're backing these guys. There's nobody seems to think about the next stage of this
[05:34:50.360 --> 05:34:54.760]   conflict. I remember even Michael Scheuer said on my show, I think the big problem right now is Boko
[05:34:54.760 --> 05:35:01.800]   Haram. And I'm like, excuse me, we're backing the Bin Ladenite caliphate in Eastern Syria and Western
[05:35:01.800 --> 05:35:08.200]   Iraq is wide open for the taking. And you can go back and check my archives from especially the first
[05:35:08.200 --> 05:35:14.840]   half of 2014, where I'm interviewing even the despicable Jonathan Landay and all kinds of anyone
[05:35:14.840 --> 05:35:20.520]   that I know who knows anything about the Bin Ladenites. I'm interviewing them mostly so I can browbeat
[05:35:20.520 --> 05:35:25.000]   them and tell them, eye on the ball, everybody. This is what matters, right? This is the most
[05:35:25.000 --> 05:35:30.840]   important crisis that could possibly be going on. And we know now that Mike Flynn was the head of
[05:35:30.840 --> 05:35:36.120]   the DIA at the time. And he, we know from Seymour Hearst, there's an article called Military to
[05:35:36.120 --> 05:35:43.320]   Military in the London Review of Books about how Mike Flynn was heroically insubordinate and was giving
[05:35:43.320 --> 05:35:49.480]   secret intelligence to the Germans to give to Assad to use to kill the Bin Ladenites, to kill the CIA's
[05:35:49.480 --> 05:35:56.120]   terrorists on the ground there. And that's what got him fired from the DIA. And now Mike Flynn is a Iran
[05:35:56.120 --> 05:36:02.280]   hawk. He hates the Ayatollah and the Shiites. And that whole thing is a absolutely pro-Israel
[05:36:02.280 --> 05:36:10.360]   Zionist guy, 100%. But his point of view was, well, let's just bomb Tehran. Just because I hate the Shiites
[05:36:10.360 --> 05:36:16.920]   doesn't mean I want to back Osama Bin Laden's suicide bomber head chopper brigades against their friend in
[05:36:16.920 --> 05:36:22.200]   Syria. What the hell is this? It's crazy. Same thing for Tulsi Gabbard, by the way. The most
[05:36:22.200 --> 05:36:28.200]   controversial thing about this woman, supposedly her entire career, somehow she was a toady of Assad is
[05:36:28.200 --> 05:36:34.440]   what Bari Weiss told Joe Rogan. And he asked her, what's a toady? And she said, I don't know. And he
[05:36:34.440 --> 05:36:39.960]   said, how do you spell it? And she said, with a Y and had no idea even to spell the word that she was
[05:36:39.960 --> 05:36:47.080]   trying to smear Tulsi Gabbard as some kind of agent of Bashar al-Assad. Tulsi Gabbard, who at that time
[05:36:47.080 --> 05:36:52.440]   was a major, later promoted to captain in the Army National Guard, who I believe only left the National
[05:36:52.440 --> 05:36:58.680]   Guard to become director of national intelligence. This American military officer, right? Oh yeah,
[05:36:58.680 --> 05:37:03.320]   I'm so sure she's such a traitor to this country. Give me a break. They keep promoting her. She may
[05:37:03.320 --> 05:37:07.960]   even still be in the National Guard. I'm not sure how that works when you're the DNI. But anyway,
[05:37:07.960 --> 05:37:16.040]   Tulsi Gabbard never said that Bashar al-Assad is a good man. She never said he's a hero. She never said
[05:37:16.040 --> 05:37:24.600]   America should lie with him. She never said anything like that. What she said was, Assad is less worse
[05:37:24.600 --> 05:37:30.920]   than his enemies. America is backing Al-Qaeda. Now, if you know anything about Tulsi Gabbard,
[05:37:30.920 --> 05:37:37.320]   she has never been, is not, and has never been against the war on terrorism. In fact, when she was
[05:37:37.320 --> 05:37:44.520]   running for president, she put out statements defining Al-Qaeda so broadly, she said hundreds of groups are
[05:37:44.520 --> 05:37:51.320]   linked to Al-Qaeda in the world and that she's willing to fight them. Okay. She is a over the
[05:37:51.320 --> 05:38:01.160]   line to unreason hawk on killing bin Ladenites. Okay. But she, and by the way, why Lex? Because she
[05:38:01.160 --> 05:38:07.160]   fought in Iraq war two, not fought, but she was in Iraq war two in a medical unit at Balad air base,
[05:38:07.160 --> 05:38:13.240]   north of Baghdad for like a year. And I've never heard her talk about this part of it, but it is clear.
[05:38:13.240 --> 05:38:21.320]   There's no question. It's impossible. Otherwise she saw our guys screaming and dying in front of her,
[05:38:21.320 --> 05:38:27.000]   right over and over and over again. Okay. So that's why she has that gray streak in her hair,
[05:38:27.000 --> 05:38:33.320]   like Nancy from nightmare on Elm street is because of that. So now the Democrats are saying,
[05:38:34.200 --> 05:38:41.640]   forget what you know about the shirts and skins lady. We're on the skin side now. We like Al-Qaeda now.
[05:38:41.640 --> 05:38:49.640]   Now Lex, like quite frankly, like every other idiot in Washington, DC apparently could not have told you
[05:38:49.640 --> 05:38:59.160]   the difference, but Tulsi Gabbard could. Tulsi Gabbard knew who was who. And she knew that Assad's enemies are
[05:38:59.160 --> 05:39:05.560]   Al-Qaeda in Iraq, in Syria. And you couldn't have tortured her into switching sides in that war,
