
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[02:43:44.540 --> 02:43:52.060]   They've been in power for a long time, since 970. Now we're already into the 1270s. It's a long time.
[02:43:52.060 --> 02:43:59.580]   They're dissipated. They've had child, they've had imbeciles ruling, all kinds of things going on. And at this
[02:43:59.580 --> 02:44:10.780]   point, we have a child in command. But Hubelai makes a very strange move. He says, "Okay, let's invade Japan now."
[02:44:14.620 --> 02:44:21.340]   What? We're fighting against the Song Dynasty. And most people ascribe it to all kinds of things. But
[02:44:21.340 --> 02:44:27.340]   actually, I think there was a great logic to it. One was, he had abolished his grandfather's policy
[02:44:27.340 --> 02:44:34.060]   of defeat and destroy until they are no more. That was the phrase that was used for their enemies. And
[02:44:34.060 --> 02:44:39.500]   he had replaced it with a kind of mercy policy. Try to incorporate them into your army if possible,
[02:44:39.500 --> 02:44:45.900]   but be merciful. He did not want to destroy, and he was not. He had a lot of defectors coming in.
[02:44:45.900 --> 02:44:52.380]   And because the Mongols prized people with skills, a lot of very clever people with shipbuilding and
[02:44:52.380 --> 02:44:59.820]   engineers and these people were flocking to the Mongols, whereas the scholars were all hanging out in
[02:44:59.820 --> 02:45:06.860]   Guangzhou doing calligraphy and poetry and having contests over who could sing or paint. I don't know what
[02:45:06.860 --> 02:45:15.100]   scholars do, but they were being scholars. But actually, I think there's a very, very good reason
[02:45:15.100 --> 02:45:23.980]   for invading Japan. Several. The main one was to cut off the supply of sulfur. They needed it for gunpowder
[02:45:23.980 --> 02:45:29.100]   in South Tsang. They lost their sources in Northern China when they were driven out. They got it from
[02:45:29.100 --> 02:45:35.340]   Japan. It was a great source. But I think there were other reasons. If they could trade, they could also,
[02:45:35.340 --> 02:45:41.500]   perhaps flee to Japan. And they didn't want that to happen. And then there's this idea of, you know,
[02:45:41.500 --> 02:45:46.620]   like, kill the chicken to scare the monkey. It's like, okay, we'll go do this, and then maybe they'll
[02:45:46.620 --> 02:45:52.140]   just surrender down there if they see us conquer Japan. Well, it was a total failure. You've got a
[02:45:52.140 --> 02:45:58.140]   bunch of ships that are mainly great on the river and will ride along the coast, and you're crossing some
[02:45:58.140 --> 02:46:05.420]   treacherous water there. And the Mongols basically just did not know what they were doing. Okay, you can
[02:46:05.420 --> 02:46:10.620]   arrive with a trebuchet, and you can throw grenades at the beach. It's not really going to do a lot of
[02:46:10.620 --> 02:46:17.020]   damage. It might scare a few horses, but you're not destroying cities. And the Japanese cities were more in.
[02:46:17.020 --> 02:46:22.540]   They weren't there on the beach waiting for Mongols to come invade. So he failed in that invasion.
[02:46:22.540 --> 02:46:27.420]   So we should say that this is the time of the samurai, right? In Japan.
[02:46:27.420 --> 02:46:28.300]   Yeah, the samurai.
[02:46:28.300 --> 02:46:32.460]   So there was never a real test of, like, battle.
[02:46:32.460 --> 02:46:37.660]   No, there was some fighting, and the samurai learned some very valuable things. The samurai had
[02:46:37.660 --> 02:46:42.780]   such a ritualized way of fighting. It's like the knights of Europe coming out with armor that had
[02:46:42.780 --> 02:46:48.620]   to be lifted up on a crane onto a horse. And I mean, it was just craziness, craziness. The samurai,
[02:46:48.620 --> 02:46:53.900]   almost at that point, you ride out in front of your enemy, and you recite the story of your genealogy.
[02:46:54.700 --> 02:47:01.820]   Oh, what? You know, Mongols, they have no use for that. They're there to fight. They're there to win.
[02:47:01.820 --> 02:47:07.420]   But on the other hand, this was unknown territory to them, and the weather did turn against them.
[02:47:07.420 --> 02:47:13.500]   But I don't want to give too much credit to the weather. I really think that the Japanese defeated them.
[02:47:13.500 --> 02:47:20.380]   The Mongols weren't well prepared. Their ships were not very good. They were defeated in the first invasion.
[02:47:20.380 --> 02:47:23.020]   Could they get off the ships onto the beach?
[02:47:23.020 --> 02:47:27.260]   Oh, they did. They had some skirmishes or small battles on land. Yes, they did.
[02:47:27.260 --> 02:47:30.060]   But they didn't successfully complete them.
[02:47:30.060 --> 02:47:31.020]   No, no.
[02:47:31.020 --> 02:47:32.940]   So they couldn't do their usual Mongol thing.
[02:47:32.940 --> 02:47:35.980]   You're right. Well, see, they don't have enough horses, for one thing.
[02:47:35.980 --> 02:47:36.300]   Yeah.
[02:47:36.300 --> 02:47:42.460]   You know, and there were many tactical things that they had done incorrectly. It's the first
[02:47:42.460 --> 02:47:45.420]   time anybody had ever tried to have such a massive invasion.
[02:47:45.420 --> 02:47:49.660]   Yeah. So they're just learning the basics of what it means to have a navy.
[02:47:49.660 --> 02:47:59.020]   So he has failed to conquer. And he's thinking like a Mongol that you rule those waters and lands. But he ruled the ocean.
[02:47:59.020 --> 02:48:07.420]   He stopped the trade. He stopped the supply. He cut off the possibility of the Song dynasty fleeing to Japan.
[02:48:07.420 --> 02:48:15.340]   He won in a certain way. He lost, but he had won his objective of cutting off southern China.
[02:48:16.140 --> 02:48:20.380]   Also, it gave the navy some experience with the ocean.
[02:48:20.380 --> 02:48:24.940]   And now they were ready to move out into the ocean around southern China.
[02:48:26.060 --> 02:48:27.500]   So they were closing in then.
[02:48:27.500 --> 02:48:33.740]   Aju was in command, but actually the head command was a man named Bayan,
[02:48:33.740 --> 02:48:36.780]   who was a Mongol who had been raised more in Central Asia.
[02:48:36.780 --> 02:48:41.820]   He was perhaps born close to the Fagana Valley in that area.
[02:48:41.820 --> 02:48:44.940]   We're not exactly sure where he was born, but he grew up over there.
[02:48:44.940 --> 02:48:49.100]   And then he eventually was living in what's now Iran.
[02:48:49.100 --> 02:48:52.700]   But he came and he took over command of the army.
[02:48:52.700 --> 02:48:56.140]   He was very cosmopolitan, sophisticated, intelligent.
[02:48:56.140 --> 02:49:01.100]   Aju should have been in command, but Bayan recognized that.
[02:49:01.100 --> 02:49:03.260]   And he and Aju worked together very well.
[02:49:03.260 --> 02:49:06.620]   Aju knew how to fight the war.
[02:49:06.620 --> 02:49:11.820]   Bayan was able to negotiate things back with the capital city and handle things.
[02:49:11.820 --> 02:49:13.340]   So Bayan is in command.
[02:49:13.340 --> 02:49:18.140]   And so the generals are deserting the South Song right and left.
[02:49:18.140 --> 02:49:21.660]   The artisans are all coming up to join the Mongols to get paid.
[02:49:21.660 --> 02:49:25.580]   The generals are loading up the boats with all the jewels.
[02:49:25.580 --> 02:49:30.860]   And they grab a couple of brothers to the little five-year-old emperor.
[02:49:30.860 --> 02:49:32.540]   And they put them on a boat and they're fleeing.
[02:49:32.540 --> 02:49:35.180]   They even deserted their own families.
[02:49:35.180 --> 02:49:39.740]   The generals were corrupt cowards who fled.
[02:49:39.740 --> 02:49:45.340]   The person left in charge was the Dowager Empress, an old lady.
[02:49:45.340 --> 02:49:46.620]   She had no children.
[02:49:46.620 --> 02:49:48.140]   Xie was her name.
[02:49:48.140 --> 02:49:49.820]   The Dowager Empress Xie.
[02:49:49.820 --> 02:49:52.460]   They said she was missing an eye.
[02:49:52.460 --> 02:49:54.300]   She was ugly.
[02:49:54.300 --> 02:49:55.820]   They called her ugly Xie.
[02:49:55.820 --> 02:49:57.420]   That's what they called her at that time.
[02:49:57.420 --> 02:49:59.660]   She was in charge.
[02:49:59.660 --> 02:50:02.380]   And she offered the Mongols everything.
[02:50:02.380 --> 02:50:03.500]   I'll give you everything.
[02:50:03.500 --> 02:50:05.100]   Please let the Empress stay.
[02:50:05.100 --> 02:50:05.420]   Okay.
[02:50:05.420 --> 02:50:08.540]   Even if you demote him to just being a king, please let him stay.
[02:50:08.540 --> 02:50:09.660]   Bayan said, no.
[02:50:09.660 --> 02:50:11.180]   Total surrender.
[02:50:11.180 --> 02:50:12.380]   Total surrender.
[02:50:12.380 --> 02:50:14.940]   So she decided to surrender.
[02:50:14.940 --> 02:50:17.900]   Well, she said, yes, we will surrender the capital.
[02:50:18.620 --> 02:50:21.100]   So Bayan came in with a small group of soldiers.
[02:50:21.100 --> 02:50:25.580]   They looked around and she invited him to come to the palace to surrender.
[02:50:25.580 --> 02:50:30.380]   And he said, no, I didn't win this war in the palace.
[02:50:30.380 --> 02:50:32.940]   My soldiers won this war in the field.
[02:50:32.940 --> 02:50:38.460]   You have to come with the emperor in front of my soldiers to surrender.
[02:50:38.460 --> 02:50:40.140]   But he did not harm her.
[02:50:40.140 --> 02:50:41.420]   He respected her.
[02:50:41.420 --> 02:50:43.340]   And there was no looting of the city.
[02:50:44.540 --> 02:50:48.540]   Now, later, they take everything in a very systematic way.
[02:50:48.540 --> 02:50:51.740]   They take the archives and all this kind of stuff away.
[02:50:51.740 --> 02:50:54.140]   But there was no wholesale looting and killing of people.
[02:50:54.140 --> 02:50:54.940]   Nothing like that.
[02:50:54.940 --> 02:50:58.300]   So they've taken the capital.
[02:50:58.300 --> 02:51:01.020]   And she comes out.
[02:51:01.020 --> 02:51:01.980]   She surrenders.
[02:51:01.980 --> 02:51:04.140]   She bows on the ground towards Beijing.
[02:51:04.140 --> 02:51:07.100]   And then she takes the child emperor.
[02:51:07.100 --> 02:51:11.260]   And they slowly make their way—she was a little bit sick.
