
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[02:01:55.940 --> 02:01:58.900]   that everybody's a little bit pissed off, but not too much.
[02:01:58.900 --> 02:02:02.660]   What do you think about this whole effort of free speech
[02:02:02.660 --> 02:02:06.020]   in these public platforms?
[02:02:06.020 --> 02:02:10.260]   Elon in particular, Twitter, you're a avid Twitter user,
[02:02:10.260 --> 02:02:14.320]   but just public platforms for discourse
[02:02:14.320 --> 02:02:18.840]   for us as a civilization to figure stuff out.
[02:02:18.840 --> 02:02:22.560]   - Yeah, well, the people on the left are very upset
[02:02:22.560 --> 02:02:26.560]   about the possibility that Elon Musk and Twitter
[02:02:26.560 --> 02:02:31.560]   will be more open to provocative public speech
[02:02:33.160 --> 02:02:37.300]   that has heretofore been banned or suppressed.
[02:02:37.300 --> 02:02:41.500]   And I think they might be right to be concerned
[02:02:41.500 --> 02:02:42.980]   that that could happen.
[02:02:42.980 --> 02:02:45.260]   I don't know enough about the technology
[02:02:45.260 --> 02:02:47.660]   and about the market to really,
[02:02:47.660 --> 02:02:50.420]   social media and whatnot,
[02:02:50.420 --> 02:02:54.500]   it seems like it's a complicated system of interactions
[02:02:54.500 --> 02:02:56.340]   between people and who the users are
[02:02:56.340 --> 02:02:57.540]   and so forth and so on.
[02:02:57.540 --> 02:03:02.460]   I do know that that New York Post story
[02:03:02.460 --> 02:03:06.300]   about Hunter Biden's laptop was real news
[02:03:06.300 --> 02:03:08.900]   and could have affected the outcome of the election
[02:03:08.900 --> 02:03:10.500]   and it was suppressed
[02:03:10.500 --> 02:03:14.340]   and that Twitter had a role in suppressing it.
[02:03:14.340 --> 02:03:16.700]   I do know that the question
[02:03:16.700 --> 02:03:19.100]   of where the COVID-19 virus originated
[02:03:19.100 --> 02:03:22.940]   in the role that a lab leak account could have played
[02:03:22.940 --> 02:03:27.860]   in the public processing of that event was real news
[02:03:27.860 --> 02:03:29.820]   and that it was suppressed by people
[02:03:29.820 --> 02:03:33.780]   who were trying to control misinformation, disinformation,
[02:03:33.780 --> 02:03:36.900]   Russian disinformation campaigns and whatnot.
[02:03:36.900 --> 02:03:40.780]   So Twitter has users, I'm one of them
[02:03:40.780 --> 02:03:42.120]   and it has a lot of users.
[02:03:42.120 --> 02:03:44.900]   It's not as big as Facebook, I gather, it's not,
[02:03:44.900 --> 02:03:49.780]   but it's important, the ability to construct
[02:03:49.780 --> 02:03:53.660]   counter platforms where people moving around and whatnot.
[02:03:53.660 --> 02:03:56.460]   It's a kind of network dynamic
[02:03:56.460 --> 02:03:58.500]   that maybe I should understand it better than I do
[02:03:58.500 --> 02:04:00.260]   being a social scientist, but--
[02:04:00.260 --> 02:04:01.820]   - I don't think anyone understands it,
[02:04:01.820 --> 02:04:05.460]   even people inside Twitter, which is fascinating.
[02:04:05.460 --> 02:04:09.500]   It's a monster because of just the bandwidth of messaging
[02:04:09.500 --> 02:04:12.660]   and you don't know who is a bot and who is a human.
[02:04:12.660 --> 02:04:14.300]   That's a fascinating dynamic.
[02:04:14.300 --> 02:04:19.100]   And the viral nature of negativity.
[02:04:19.100 --> 02:04:22.800]   All of those dynamics, of course,
[02:04:22.800 --> 02:04:25.700]   you are probably the right person to understand it
[02:04:25.700 --> 02:04:28.100]   from a social scientist perspective,
[02:04:28.100 --> 02:04:29.980]   from an economics perspective,
[02:04:29.980 --> 02:04:31.860]   but nobody really understands.
[02:04:31.860 --> 02:04:34.780]   And it's fascinating within that domain,
[02:04:34.780 --> 02:04:38.900]   how do you allow for free speech,
[02:04:38.900 --> 02:04:41.520]   not allow for free speech, encourage free speech,
[02:04:41.520 --> 02:04:45.300]   defend free speech, and at the same time,
[02:04:45.300 --> 02:04:49.260]   manage millions of ongoing conversations
[02:04:49.260 --> 02:04:54.260]   from just becoming insanely chaotic.
[02:04:56.340 --> 02:04:58.660]   Sort of from Twitter perspective,
[02:04:58.660 --> 02:05:02.020]   they want people to be happy, to grow,
[02:05:02.020 --> 02:05:05.420]   to actually have difficult, critical conversations.
[02:05:05.420 --> 02:05:07.580]   And the problem with humans
[02:05:07.580 --> 02:05:09.900]   is they think they know what that is
[02:05:09.900 --> 02:05:14.300]   and they think they can label things as misinformation,
[02:05:14.300 --> 02:05:18.780]   as counterproductive for healthy conversations, in quotes.
[02:05:18.780 --> 02:05:22.100]   And the problem is, as we are learning,
[02:05:22.100 --> 02:05:25.280]   humans are not able to do that effectively.
[02:05:25.280 --> 02:05:27.780]   First of all, power corrupts.
[02:05:27.780 --> 02:05:30.920]   There's something delicious about having the power
[02:05:30.920 --> 02:05:33.180]   to label something as misinformation.
[02:05:33.180 --> 02:05:35.780]   You do that once for something
[02:05:35.780 --> 02:05:37.820]   that might be obviously misinformation,
[02:05:37.820 --> 02:05:39.780]   and then you start getting greedy.
[02:05:39.780 --> 02:05:40.940]   You start getting excited.
[02:05:40.940 --> 02:05:41.900]   It feels good.
[02:05:41.900 --> 02:05:45.940]   It feels good to label something as misinformation
[02:05:45.940 --> 02:05:48.860]   or disinformation that you just don't like.
[02:05:48.860 --> 02:05:51.020]   And over time, especially if there's a culture
[02:05:51.020 --> 02:05:55.140]   inside of a company that leans a certain political direction
[02:05:55.140 --> 02:05:57.540]   or leans, in all the groups that we talked about,
[02:05:57.540 --> 02:06:01.260]   leans a certain way, they'll start to label
[02:06:01.260 --> 02:06:03.660]   as misinformation things they just don't like.
[02:06:03.660 --> 02:06:07.540]   And that power is delicious and it corrupts.
[02:06:07.540 --> 02:06:08.980]   You have to construct mechanisms,
[02:06:08.980 --> 02:06:10.580]   like the Founding Fathers did,
[02:06:10.580 --> 02:06:14.700]   for somehow preventing you from allowing that power
[02:06:14.700 --> 02:06:15.840]   to get too delicious.
[02:06:15.840 --> 02:06:19.700]   At least that's my perspective on what's going on.
[02:06:19.700 --> 02:06:21.300]   - Well, I'll just tell you personally,
[02:06:21.300 --> 02:06:23.340]   I'm excited about the prospect.
[02:06:23.340 --> 02:06:25.860]   I'm glad to see Musk making the move that he's making,
[02:06:25.860 --> 02:06:29.100]   and we'll see what happens at Twitter and so forth.
[02:06:29.100 --> 02:06:33.180]   - You're looking forward for the, what did he say?
[02:06:33.180 --> 02:06:35.140]   Let's make Twitter more fun.
[02:06:35.140 --> 02:06:38.160]   I'm looking forward to the fun.
[02:06:38.160 --> 02:06:43.220]   You've talked about, you are at a prestigious university.
[02:06:43.220 --> 02:06:44.220]   - Brown University.
[02:06:44.220 --> 02:06:45.400]   - Brown University.
[02:06:45.400 --> 02:06:50.220]   And you've mentioned that universities might be in trouble.
[02:06:50.220 --> 02:06:52.400]   I think it's with Jordan, but everywhere else,
[02:06:52.400 --> 02:06:54.980]   the barbarians are at the gate.
[02:06:54.980 --> 02:06:59.740]   Who are the barbarians at the gate of the university?
[02:06:59.740 --> 02:07:03.540]   So first of all, what is to you beautiful
[02:07:03.540 --> 02:07:08.540]   about the ideal of the university in America, of academia?
[02:07:08.540 --> 02:07:12.100]   And what is a threat?
[02:07:12.100 --> 02:07:15.300]   - Well, you know, a university is dedicated
[02:07:15.300 --> 02:07:17.380]   to the pursuit of truth,
[02:07:18.420 --> 02:07:23.420]   and to the education and nurturing of young people
[02:07:23.420 --> 02:07:26.600]   as they enter into the pursuit of truth,
[02:07:26.600 --> 02:07:28.840]   to doing research and to teaching
[02:07:28.840 --> 02:07:34.720]   in a environment of free inquiry and civil discourse.
[02:07:34.720 --> 02:07:40.880]   So free inquiry means you go wherever the evidence
[02:07:40.880 --> 02:07:43.560]   and your imagination may lead you,
[02:07:43.560 --> 02:07:46.540]   and civil discourse means that you exchange arguments
[02:07:46.540 --> 02:07:48.180]   with people when you don't agree with them
[02:07:48.180 --> 02:07:50.680]   on behalf of trying to get to the bottom of things.
[02:07:50.680 --> 02:07:56.560]   I think the university is a magnificent institution.
[02:07:56.560 --> 02:08:00.400]   It is a relatively modern institution.
[02:08:00.400 --> 02:08:02.760]   I mean, last 500 years or so,
[02:08:02.760 --> 02:08:04.680]   I mean, there are universities that are older than that,
[02:08:04.680 --> 02:08:08.520]   but the great research universities of the world,
[02:08:08.520 --> 02:08:10.900]   not only here in the United States,
[02:08:10.900 --> 02:08:15.400]   are places where human ingenuity is nurtured,
[02:08:15.400 --> 02:08:18.160]   where new knowledge is created,
[02:08:18.160 --> 02:08:22.920]   and where young people are equipped to answer questions
[02:08:22.920 --> 02:08:26.260]   that are open questions about our existence
[02:08:26.260 --> 02:08:27.960]   in the world that we live in.
[02:08:27.960 --> 02:08:30.940]   You can trace to the university much,
[02:08:30.940 --> 02:08:34.900]   if not most of the advances in technology
[02:08:34.900 --> 02:08:36.720]   and resourcefulness and our understanding
[02:08:36.720 --> 02:08:38.500]   of the origins of the species,
[02:08:38.500 --> 02:08:41.560]   of the nature of the universe, cosmology, et cetera,
[02:08:41.560 --> 02:08:45.600]   science, the pursuit of humanistic understanding,
[02:08:45.600 --> 02:08:48.160]   the nurturing of traditions of inquiry,
[02:08:48.160 --> 02:08:50.440]   so forth, so that's the university.
[02:08:50.440 --> 02:08:51.800]   Barbarians at the gates.
[02:08:51.800 --> 02:08:56.080]   The people who are trying to shut down open inquiry
[02:08:56.080 --> 02:08:59.140]   at the university on behalf of their particular view
[02:08:59.140 --> 02:09:04.140]   about things are a threat to what the university stands for,
[02:09:04.140 --> 02:09:06.400]   and they should be resisted.
[02:09:06.400 --> 02:09:11.400]   So if I'm inquiring about the nature of human intelligence,
[02:09:13.280 --> 02:09:16.320]   and I wanna study differences between human populations
[02:09:16.320 --> 02:09:18.120]   and their acquisition of,
[02:09:18.120 --> 02:09:22.020]   or their expression of cognitive ability,
[02:09:22.020 --> 02:09:24.600]   that's fair game, it's an open question.
[02:09:24.600 --> 02:09:27.240]   If I wanna know something about the nature
[02:09:27.240 --> 02:09:31.280]   of gender affiliation and identity
[02:09:31.280 --> 02:09:34.580]   and gender dysphoria and whatnot,
[02:09:34.580 --> 02:09:36.440]   that's fair game to study in a university.
[02:09:36.440 --> 02:09:40.000]   You can't shut that down, you shouldn't be able to,
[02:09:40.000 --> 02:09:44.040]   by saying, I have a particular position here,
[02:09:44.040 --> 02:09:45.760]   I'm a member of a particular identity group,
[02:09:45.760 --> 02:09:49.160]   suppose I wanna study the history of colonialism,
[02:09:49.160 --> 02:09:53.440]   and there's a narrative on the progressive side,
[02:09:53.440 --> 02:09:56.480]   which is colonialism's about Europeans dominating
[02:09:56.480 --> 02:09:57.920]   and stealing or whatever, whatever,
[02:09:57.920 --> 02:10:00.480]   and I happen to think, well, there's another aspect
[02:10:00.480 --> 02:10:02.040]   to the story about colonialism too,
[02:10:02.040 --> 02:10:05.080]   which is that it's a mechanism for the diffusion
[02:10:05.080 --> 02:10:06.800]   of the best in human civilization
[02:10:06.800 --> 02:10:10.400]   to populations that were significantly lagging behind.
[02:10:10.400 --> 02:10:12.900]   With respect to that, it brought literacy
[02:10:12.900 --> 02:10:15.360]   to the southern hemispheric populations
[02:10:15.360 --> 02:10:19.060]   that were dominated in the process of the colonizing thing.
[02:10:19.060 --> 02:10:20.160]   It's complicated.
[02:10:20.160 --> 02:10:22.240]   I'm not taking that position, by the way.
[02:10:22.240 --> 02:10:24.760]   I'm just saying somebody at a university
[02:10:24.760 --> 02:10:28.540]   should be able to take it up and pursue it
[02:10:28.540 --> 02:10:30.280]   and engage in argument with people about it.
[02:10:30.280 --> 02:10:31.840]   I'm talking about race and ethnicity,
[02:10:31.840 --> 02:10:34.600]   but this extends to a wide range of things.
[02:10:34.600 --> 02:10:36.680]   Suppose we're talking about climate,
[02:10:36.680 --> 02:10:38.720]   and one person says the Earth is endangered
[02:10:38.720 --> 02:10:42.520]   because carbon in global warming, et cetera, et cetera,
[02:10:42.520 --> 02:10:44.760]   and another person says, no, wait, no, wait,
[02:10:44.760 --> 02:10:48.160]   look at where we stand in the 21st century.
[02:10:48.160 --> 02:10:51.400]   We're vastly richer than our ancestors just 250 years ago.
[02:10:51.400 --> 02:10:53.240]   We have much more knowledge about that
[02:10:53.240 --> 02:10:54.080]   and so forth and so on.
[02:10:54.080 --> 02:10:59.080]   250 years from now, human ingenuity will have devised
[02:10:59.080 --> 02:11:02.760]   in ways that we cannot even begin to anticipate
[02:11:02.760 --> 02:11:07.760]   all manner of technological means for managing the problem.
[02:11:07.760 --> 02:11:11.360]   There's no reason that we should shut down
[02:11:11.360 --> 02:11:14.320]   industrial civilization today
[02:11:14.320 --> 02:11:16.880]   because we fear the consequences of it
[02:11:16.880 --> 02:11:20.480]   when in fact we are vastly richer than our ancestors
[02:11:20.480 --> 02:11:22.280]   and those who come up two centuries after us
[02:11:22.280 --> 02:11:25.840]   will be vastly more effective at dealing with problems
[02:11:25.840 --> 02:11:27.240]   than we are now.
[02:11:27.240 --> 02:11:28.560]   Let's, it's, you know, et cetera.
[02:11:28.560 --> 02:11:30.780]   I'm not actually making that argument.
[02:11:30.780 --> 02:11:34.600]   I'm just saying the tendency to try to say,
[02:11:34.600 --> 02:11:36.920]   oh no, that person is a climate denier.
[02:11:36.920 --> 02:11:40.200]   They can't pursue that area of inquiry
[02:11:40.200 --> 02:11:44.400]   is against the spirit of the university.
[02:11:44.400 --> 02:11:47.080]   I think the barbarians at the gates
[02:11:47.080 --> 02:11:50.440]   has to do with the people who think they know
