
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[03:01:45.700 --> 03:01:54.560]   Now, one of which, well, we could maybe speak also about confluence, but also correctness.
[03:01:55.560 --> 03:02:05.260]   So, being able to prove the correctness of a code is basically easier to write bug-free code.
[03:02:05.260 --> 03:02:11.720]   Can you just speak to that and the importance of that when you're building the metaverse?
[03:02:11.720 --> 03:02:13.180]   Yeah, right.
[03:02:13.180 --> 03:02:20.760]   So, the challenge with the metaverse is, first of all, that it's a huge base of code that's evolving over time and written by many authors.
[03:02:20.760 --> 03:02:30.100]   You might see every second a new module is updated somewhere, and you expect in this live, ever-running simulation that never shuts down, for everything to upgrade live in place.
[03:02:30.100 --> 03:02:42.620]   And so, one critical component that is the ability to release an update to something you've already published and be sure that it's backwards compatible with the one that you've already released.
[03:02:42.620 --> 03:02:48.680]   And that's essentially a type-checking problem, checking that your new interface is backwards compatible with your old one.
[03:02:48.680 --> 03:02:50.920]   And that comes down to the type system of the language.
[03:02:50.920 --> 03:03:00.440]   There's been a lot of very interesting research on type systems over the years, most of which hasn't ever made it into the C++ programming language, unfortunately.
[03:03:00.440 --> 03:03:03.120]   But you see several branches of that whole field.
[03:03:03.120 --> 03:03:10.160]   One of the really interesting things that Java and C Sharp did in the early days, and then later abandoned and didn't bother update,
[03:03:10.160 --> 03:03:23.040]   was defining a very rigorous set of rules for if you publish a module with one set of types today, then what changes can you make to that module for your future updates to it that don't break backwards compatibility?
[03:03:23.040 --> 03:03:25.920]   And that's a problem for type checking.
[03:03:25.920 --> 03:03:33.920]   Like, say you have a function that promises to return some integer, well, in the future you could say that returns some natural number, because every natural number is an integer, so that's a backwards compatible change.
[03:03:33.920 --> 03:03:37.920]   But you can't say it returns a rational number, because some rational numbers are not integers.
[03:03:37.920 --> 03:03:41.800]   So, you know, the system ought to reject that kind of change.
[03:03:41.800 --> 03:03:58.960]   But the much, much, much, much more interesting thing about type checking was the realization, it was actually made in the 1930s, that if you design a programming language type system in a very particular way, then it becomes not only useful for expressing types of variables.
[03:03:58.960 --> 03:04:10.000]   You know, the traditional thing every type system does is say, like, "Variable X is of type integer," but if you design a type system in a certain way, then your types can express theorems.
[03:04:10.000 --> 03:04:26.360]   Like, mathematical theorems, you know, the Pythagorean theorem is a cool one, but one theorem you might set in a program is like the theorem that this function takes an array of integers and returns an array of the same integers, but the result is sorted.
[03:04:26.360 --> 03:04:38.200]   If you express that as a theorem, and you follow this system of type theory, then you can actually require that anybody who writes that sorting function to prove that it has actually sorted its result.
[03:04:38.200 --> 03:04:45.160]   And so you have types or theorems, and values constructed a certain way can be proofs of those theorems.
[03:04:45.160 --> 03:04:51.160]   And nowadays, in mathematical literature, you see more and more theorems are being proven mechanically.
[03:04:51.160 --> 03:04:56.160]   Mathematicians are proving theorems in a way that is verified by computer to be a correct proof.
[03:04:56.160 --> 03:04:59.360]   In the old days of math, people would write down, like, language.
[03:04:59.360 --> 03:05:08.320]   If you look at all of Euclid's theorems, it was just language. It was just writing in ancient Greek to say the steps of the proof to convince the reader that the thing is true.
[03:05:08.320 --> 03:05:17.280]   Starting in the 1930s, mathematicians moved towards rigorous formal proofs in which there's a series of steps that can be mechanically verified.
[03:05:17.280 --> 03:05:25.280]   They're proving things. And when mathematicians say they've done a computer proof of a theorem, what they really mean is they've written the program in a proof language,
[03:05:25.280 --> 03:05:30.240]   like Lean is a theorem prover, a COQ is a theorem prover, and there are several others.
[03:05:30.240 --> 03:05:38.240]   It means they've written a mechanical proof in that language that a computer is checked so that it's impossible to lie.
[03:05:38.240 --> 03:05:43.440]   If you say that you've proven a thing and the computer verifies it, then it's definitely true.
[03:05:43.440 --> 03:05:53.200]   And, you know, this is a feature of mathematical proof languages, but it's also an idea that's making its way into programming languages gradually over time.
[03:05:53.200 --> 03:06:00.640]   And our aim for VERSE is to be the first mainstream programming language that fully adopts that approach and that technique.
[03:06:00.640 --> 03:06:05.600]   And not only adopts it, but adopts it in a way that's really user-friendly, so you don't have to do that.
[03:06:05.600 --> 03:06:12.400]   And the idea of this is that you want gradually more information to be incorporated in the types of variables.
[03:06:12.400 --> 03:06:21.040]   The property you want of a programming language is that if your compiler accepts your program and doesn't beep and tell you there is an error, then your program should work.
[03:06:21.040 --> 03:06:26.880]   Now, there are all kinds of ways humans can make mistakes there, so that we'll never achieve that ideal.
[03:06:26.880 --> 03:06:34.000]   But we can get closer and closer to it by having more and more language features that enable the compiler to catch more human coding errors
[03:06:34.000 --> 03:06:35.760]   and tell the user what went wrong.
[03:06:35.760 --> 03:06:39.760]   And, you know, that becomes extremely important in the metaverse.
[03:06:39.760 --> 03:06:45.680]   The cost of fixing a bug that's made it through to runtime and is in users' hands,
[03:06:45.680 --> 03:06:54.000]   the cost of fixing a bug in a shipping program is hundreds of times higher than fixing a bug that you've just observed as you're running your code yourself.
[03:06:54.800 --> 03:06:58.800]   You just, when it's running on your computer, you just fix a line of code and your bug's fixed.
[03:06:58.800 --> 03:07:06.320]   When you have to fix it live, you have to release a patch, you have to release patch notes, you have to test the patch, you have to check for all the other bugs that might have been introduced,
[03:07:06.320 --> 03:07:08.400]   and everything becomes vastly, vastly more expensive.
[03:07:08.400 --> 03:07:17.520]   So, you know, the real aim of the verse program and approach is to catch all of these errors at compile time and make the metaverse a very reliable place.
[03:07:17.520 --> 03:07:24.880]   Do you see a world where, like, at compile time, you could prove that the program is correct in some sense of correctness?
[03:07:24.880 --> 03:07:28.880]   Proving things becomes commentatorially harder as they get larger, right?
[03:07:28.880 --> 03:07:37.640]   And so, the really important thing about this whole field is that you should be able to adopt these capabilities gradually and apply it where you really need it.
[03:07:37.640 --> 03:07:42.520]   Like, if you're writing something like a cryptography algorithm, that's a good place to prove stuff.
[03:07:42.520 --> 03:07:51.140]   If you're writing a data decompressor that's going to be used by an entire ecosystem, like, proving that that doesn't overrun memory is actually really important.
