
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[02:05:17.940 --> 02:05:23.420]   Brittany Murphy's in all three stories, one day, Benicio Latoro, three days. It's just like,
[02:05:23.420 --> 02:05:28.140]   you're just shooting this stuff. Mickey Rourke is in a sequence with Rudger Hauer. We shot eight
[02:05:28.140 --> 02:05:33.100]   months apart. I didn't have Rudger Hauer until I was doing Sharkboy and Lavagirl. So I just shot
[02:05:33.100 --> 02:05:36.020]   Mickey acting with me and then I shot Rudger acting with me and I just cut them together.
[02:05:36.020 --> 02:05:40.960]   What's weird is like editing exercises or like I used to do these editing exercises where I would
[02:05:40.960 --> 02:05:45.260]   do my VCRs together and I would cut my movies, but sometimes I would just cut a music video and I
[02:05:45.260 --> 02:05:49.180]   cut a music video once because I was a big fan of Rudger Hauer and a big fan of Mickey Rourke.
[02:05:49.180 --> 02:05:52.700]   So I said, I want to make it look like they're in a movie together. So I cut this music video
[02:05:52.700 --> 02:05:57.700]   together. But, and so it shows like lightning on Rudger and the hitcher and then lightning on
[02:05:57.700 --> 02:06:02.900]   Mickey from Rumblefish, but Rumblefish is black and white. So I made the whole thing black and
[02:06:02.900 --> 02:06:07.940]   white. I was like 19, I was 19 years old when I did that. And then years later, I'm making Sin City.
[02:06:07.940 --> 02:06:12.100]   I shot Mickey not knowing who the other actor was going to be until I cast him eight months later and
[02:06:12.100 --> 02:06:15.940]   it was Rudger. I'm cutting them together to look like they're in the same movie and it's in black and
[02:06:15.940 --> 02:06:22.180]   white. And I'm like, I've done this before. Oh my God. I found that old video. It's like,
[02:06:22.180 --> 02:06:25.540]   oh my God, I already made a movie with him in black and white. That's some weird shit, right?
[02:06:25.540 --> 02:06:31.940]   That's the magic of creativity. It's like sometimes when you have a vision, it's not clear, but it's
[02:06:31.940 --> 02:06:37.180]   coming to you from the future. So you got to just follow the voice. No matter what anyone says about
[02:06:37.180 --> 02:06:42.560]   your curtains, just follow the voice you got in your head because you don't know and you're not smart
[02:06:42.560 --> 02:06:47.900]   enough to know. And you don't need to know. You just need to do, you just need to be the hands.
[02:06:47.900 --> 02:06:54.400]   So this is like what you can do with no time or money. When you know all those jobs, it's the
[02:06:54.400 --> 02:06:58.500]   benefit of knowing those jobs. Like I said, the more, you know, those jobs, the more, you know,
[02:06:58.500 --> 02:07:04.180]   your main job, which is being creative, but on the day thinking on your feet. So I'm going to show you
[02:07:04.180 --> 02:07:10.160]   this, um, this test. Okay. So for Nestled on the TV series, I would always shoot the first episode
[02:07:10.160 --> 02:07:14.460]   in the last episode of like a seven or eight episode season. There's three seasons.
[02:07:14.460 --> 02:07:21.160]   By the time we got to the third season, I was doing Alita, so I couldn't do the big finale episode.
[02:07:21.160 --> 02:07:26.700]   And my actor who plays the George Clooney character, DJ Catrona, he's somebody who fucking wanted to be a
[02:07:26.700 --> 02:07:30.720]   writer, was writing. He's wrote Fight and Flight. This is a movie that's going to come out with Josh
[02:07:30.720 --> 02:07:35.560]   Arnett. That's his, he wrote it. And after doing this, he was like, man, hearing you talk, you know
[02:07:35.560 --> 02:07:40.640]   what I got, this is what I love about you inspire people. The feedback loop inspires you back. He
[02:07:40.640 --> 02:07:45.340]   said, man, hearing your talk for red 11 and the cards and, uh, I've got a script that's partially
[02:07:45.340 --> 02:07:49.760]   written. I'm just going to go, I'm going to go crank it out in 3d. I'm going to cut off the phone
[02:07:49.760 --> 02:07:53.560]   in 3d. I'm going to finish that thing in three fucking days. And he came back and he said, I
[02:07:53.560 --> 02:07:57.940]   finished the script and I read it and I go, when you read it in three days and go, well, I wrote
[02:07:57.940 --> 02:08:02.660]   something before, but I just kept thinking I wasn't ready. And then you told me the thing about not
[02:08:02.660 --> 02:08:05.900]   being ready. And you said that it really resonated. I went and I finished it in three days. I go,
[02:08:05.900 --> 02:08:10.000]   man, I'm going to do that. I'm going to go do the DJ method. I call the DJ method. I have a bunch of
[02:08:10.000 --> 02:08:14.480]   half-baked ideas that I'm just going to go turn off the phone and finish the thing in three days and
[02:08:14.480 --> 02:08:19.720]   I'll fix it later. But the three days, there's going to be pure pipe. It's just going to be coming
[02:08:19.720 --> 02:08:23.380]   through. Cause you're just going to be picking up the pen. So anyway, he went, he came to me with
[02:08:23.380 --> 02:08:27.740]   this idea. He said, Oh man, I was hoping you'd do the last episode of just till dawn. Cause I had
[02:08:27.740 --> 02:08:32.080]   this great idea for a scene. We're in a zombie town, Western town. We have those ones, those guns
[02:08:32.080 --> 02:08:36.480]   where you have to pull the trigger, you know, the hammer back before you can fire. So I thought,
[02:08:36.480 --> 02:08:40.860]   what if I have a gun that's empty and I got bullets in the other hand and I bump into a zombie,
[02:08:40.860 --> 02:08:45.440]   the bullets go flying. I jump and I catch all the bullets and shoot the guy before I hit the ground.
[02:08:45.440 --> 02:08:49.340]   Okay. That's kind of like a real cool, like desperado type thing, but dude,
[02:08:49.400 --> 02:08:56.200]   this is a seven day shoot for these episodes. Every one of the crew will have a different idea
[02:08:56.200 --> 02:09:01.380]   on how to do that. Stunt guy will put you on wires cause you have to do all that action or
[02:09:01.380 --> 02:09:07.040]   the DP isn't even operating the camera. It's a camera guy. The director doesn't know how to shoot.
[02:09:07.040 --> 02:09:14.460]   He's not operating the camera. Your editors in a room somewhere, VFX guys aren't there. You're not
[02:09:14.460 --> 02:09:19.020]   going to be able to ask them how to do it. But I, in my own VFX, I came up with how we did all the
[02:09:19.080 --> 02:09:24.880]   shots and Sid City and all those spiking movies. We need one guy to come do it. I'll come do it for
[02:09:24.880 --> 02:09:29.120]   you. I'll come do it. Cause I'm already going to be there. Cause I have to shoot a second unit fight
[02:09:29.120 --> 02:09:31.980]   scene for the other actor who wanted a cool fight scene. So I was already doing that.
[02:09:31.980 --> 02:09:36.060]   When it comes to your scene, we'll switch places because it's got to be done quick. Cause you've
[02:09:36.060 --> 02:09:39.480]   got, you got to shoot it in 20 minutes. Cause you've got a ton of other shit. You got to shoot
[02:09:39.480 --> 02:09:43.440]   and you'll just never get it. You won't even get it in a film schedule, you know,
[02:09:43.440 --> 02:09:48.280]   in a regular movie schedule. It's just too crazy. You need somebody with a vision to do the whole
[02:09:48.760 --> 02:09:52.440]   scene. So this is what it would look like if you're on the set. I'm going to show you the
[02:09:52.440 --> 02:09:55.500]   footage and I'm going to show you the scene. I have to show it to you a couple of times.
[02:09:55.500 --> 02:10:00.300]   Cause you're not going to believe what you're about to see. So if you were on the set, this
[02:10:00.300 --> 02:10:03.920]   is what it would look like. So I get there, they said, we're ready for that scene. So I get over
[02:10:03.920 --> 02:10:09.500]   there to the set and I go, okay, where, where are you coming out of this building? Where are you
[02:10:09.500 --> 02:10:14.520]   getting the bullets from that body? Okay. Bring that body closer. Okay. Stunt guy, bring a pad
[02:10:14.520 --> 02:10:19.120]   over. I want to see you just jump and start to twist as if you're turning. I just want to see
[02:10:19.120 --> 02:10:23.980]   how much airtime you can get to get any action before you hit the pad. He starts to jump. He's
[02:10:23.980 --> 02:10:26.460]   barely starts jumping. He's already hitting the pad. So I was like, okay, that ain't going to work.
[02:10:26.460 --> 02:10:30.720]   You get out of here, DJ, you're going to do it. I have no idea how I'm going to do this. I hadn't
[02:10:30.720 --> 02:10:34.560]   thought about it before, but now you're there. So awesome. And now the options are very limited.
[02:10:34.560 --> 02:10:37.660]   You're very limited. Look at the sun. You're going to see the sun not move. You see, that's the
[02:10:37.660 --> 02:10:42.360]   point where the sun starts getting lost. I have to shoot this in 20 minutes. You're going to do
[02:10:42.360 --> 02:10:46.660]   three jumps and I'm going to cut it to look like one jump. All the bullets are going to miss. The
[02:10:46.660 --> 02:10:51.660]   only one's going to go in. So here, just follow what I'm saying. We don't have time. What cameras
[02:10:51.660 --> 02:10:55.720]   do we have? What's on the A camera? A long lens. Oh yeah, that's my camera. I'll operate that. What's
[02:10:55.720 --> 02:11:01.240]   on the B camera? Steadicam. Leave it on steadicam. No chance, no time to convert it. At one point,
[02:11:01.240 --> 02:11:06.800]   I want to lower it. So just flip it upside down. We'll flop it later. Give me the main camera. Okay,
[02:11:06.800 --> 02:11:11.540]   DJ, start running towards that bullets and grab it and pretend like it gets shot out of your hand.
[02:11:11.540 --> 02:11:15.400]   I shoot it in slow motion, but I'm showing you how it would look on the set. Okay. Now the bullets are
[02:11:15.400 --> 02:11:18.360]   flying. I'm going to add those digitally and I'm going to hold the bullets up to the light
[02:11:18.360 --> 02:11:22.440]   in each angle so that they know what it's supposed to look like so they can match that. Otherwise,
[02:11:22.440 --> 02:11:30.700]   it'll look phony. Now, first jump. I just want you to commit to just jumping out and just look at the
[02:11:30.700 --> 02:11:34.900]   barrel. Just look at the barrel on your hands when you're jumping because that'll look like you're
[02:11:34.900 --> 02:11:39.780]   looking at the bullets. And just don't even think about that you're going to catch a bullet. Don't think
[02:11:39.780 --> 02:11:43.460]   about that you're going to start turning. Just stretch your body out. Get a really
